electrode_1_modified_mean_absolute_value_2,electrode_2_modified_mean_absolute_value_2,electrode_3_modified_mean_absolute_value_2,electrode_4_modified_mean_absolute_value_2,electrode_5_modified_mean_absolute_value_2,electrode_6_modified_mean_absolute_value_2,electrode_7_modified_mean_absolute_value_2,electrode_8_modified_mean_absolute_value_2
0.015709775244444453,0.035446803688888875,0.022167437466666672,0.012158399688888892,0.009995893600000003,0.04754691879999997,0.14356824204444446,0.026252778711111112
0.0163146784888889,0.046923794977777745,0.02160148351111112,0.013093854088888891,0.008266707377777776,0.02931334431111109,0.13929068835555564,0.015243156444444447
0.012485507911111119,0.026175189155555546,0.02517170266666667,0.01235632493333334,0.008058378888888891,0.031600108266666656,0.12256365013333337,0.014663914800000007
0.018881944177777787,0.05760245724444444,0.02193069373333335,0.01154172502222222,0.009980624222222227,0.03612794711111107,0.11994019648888883,0.013017415200000009
0.01972171600000001,0.0679683382666667,0.031391797822222206,0.016165366888888887,0.011036196266666673,0.0431592351111111,0.1348540329777778,0.01871881186666667
0.008034092044444446,0.00893269115555556,0.017757752666666682,0.012782036177777773,0.008047979555555555,0.03757795764444442,0.1317413470666667,0.015368145466666672
0.01305078431111111,0.03022447168888886,0.01789882951111111,0.011891774933333338,0.008893828177777782,0.03511963808888884,0.1586163416888889,0.021063346933333338
0.0161466696,0.042396628799999954,0.023618165066666672,0.015981312533333333,0.009706308666666672,0.028376513555555535,0.13601567075555554,0.016709779644444454
0.011459781600000007,0.026698122488888885,0.023236849422222244,0.015160537955555557,0.00815907217777778,0.031469007333333326,0.12276503746666673,0.014392428177777776
0.01882781626666666,0.058907285022222214,0.024068331911111088,0.013575086533333343,0.00963266768888889,0.03296911453333332,0.14396348231111114,0.015349957200000004
0.02024248435555555,0.060600859422222216,0.03213282533333331,0.010228544177777778,0.009518126311111109,0.03234750604444441,0.12431225195555552,0.022893210311111113
0.023007772000000003,0.0674698253777778,0.02952247199999997,0.013761213066666663,0.011099378533333338,0.04523277075555554,0.10807958582222223,0.021122928266666677
0.016245256977777785,0.041204394577777755,0.022652117644444452,0.010079936444444448,0.010645877244444444,0.0456746385333333,0.1223897409777777,0.018218191288888887
0.011676466088888893,0.033489859866666624,0.0308717006222222,0.016077822177777784,0.00819865648888889,0.028224415288888884,0.0977925891555556,0.014940340755555554
0.012151446222222225,0.04299823795555554,0.02123964888888889,0.012815373600000003,0.008779904755555554,0.038499008355555524,0.14928160204444443,0.022744590755555565
0.010515354,0.032814002222222194,0.02082722995555556,0.01131603097777778,0.006794516666666662,0.02323488035555555,0.11764838728888888,0.011635546977777784
0.01158968844444445,0.029634162844444423,0.01699388560000002,0.010412578444444452,0.009106308133333336,0.028688361022222213,0.12656834128888889,0.015800153155555555
0.013836230844444446,0.03295787991111108,0.022519035377777774,0.013823687955555561,0.007668116177777778,0.0314571110222222,0.13673026831111124,0.013729927688888886
0.009579200622222225,0.02409452764444444,0.02249876648888889,0.015032018800000003,0.007789641688888893,0.04016708551111109,0.12240614226666667,0.01718484413333333
0.007242405199999996,0.008709070800000003,0.02204659182222223,0.014220928888888897,0.007125033644444444,0.027805054977777775,0.12654135186666668,0.01042437555555556
0.012811147200000001,0.04396830911111107,0.022074423022222234,0.014205608977777772,0.007763244444444447,0.02848772159999998,0.13558125462222226,0.014134172800000006
0.007693119555555552,0.015987609911111113,0.018704271288888897,0.011779220311111116,0.009077818177777778,0.03926898902222219,0.12242201102222221,0.01719735422222223
0.009519526044444447,0.018468178088888888,0.014487600800000005,0.014004237688888895,0.008516040533333335,0.029674404400000014,0.09574207857777776,0.01065074893333334
