electrode_1_standard_deviation,electrode_2_standard_deviation,electrode_3_standard_deviation,electrode_4_standard_deviation,electrode_5_standard_deviation,electrode_6_standard_deviation,electrode_7_standard_deviation,electrode_8_standard_deviation
0.015305938510057317,0.018765251867565103,0.05541035227694912,0.03146474828038179,0.012634345277248136,0.02945462881370148,0.11713504950376705,0.020983992424241444
0.018043914964238406,0.031472803003699173,0.05323774996915086,0.027512043273591212,0.013819415188673268,0.022074029508407738,0.1017670061613674,0.022467889329833714
0.01654554280883492,0.045482174775492,0.0685416298217125,0.0391676641052534,0.013332722845438922,0.028444439317745977,0.13797305341284213,0.02003304922339416
0.014923957809663702,0.019612738387004162,0.04819434108116429,0.03548623829773765,0.012808364103248662,0.02673066610642395,0.1136067616410115,0.019405700610681104
0.013392318410052584,0.03606510300637754,0.05996970171690303,0.03903231952986084,0.014868983495260267,0.028445989960766978,0.06913294897668637,0.016304760723746373
0.01341336266386828,0.014704252362654222,0.0473864088243957,0.03390311702462704,0.013601858285849115,0.01828869841244283,0.13767609071940193,0.018663758317042926
0.013643965293318837,0.015464621200829833,0.03821849326021879,0.030380413002994218,0.013108253199663519,0.020617530538058843,0.0772846166288854,0.021015258495637294
0.014004652130383913,0.01572733738432719,0.04049612252467705,0.03241381298925249,0.01418983482520576,0.024418414202601053,0.10055214292266344,0.017002658693156068
0.0133196123425859,0.014058838431841452,0.04134065930999072,0.02799088173886255,0.01324566493679431,0.01950346174516377,0.07076246300328037,0.018416128896042612
0.012666563186518102,0.014617277331139112,0.04357018863047442,0.029263803833793834,0.012015997909439547,0.014556980404670317,0.05464267724338876,0.017510043289942365
0.01196898294095757,0.013378647304210376,0.037956894693034364,0.025675717503586062,0.013544278178968746,0.013683662857752023,0.05315888384766766,0.014339590447622817
0.013612604422739977,0.012685928578282666,0.04074852400377821,0.02569159940034096,0.011629498145454182,0.02237076395399038,0.10703741523148835,0.019346943670980696
0.012627070211163615,0.013886353064398234,0.03687201856814234,0.02617594018747093,0.012611290144373281,0.013826824850620381,0.06795376996457585,0.015850992286208246
0.015138028939772475,0.014717140542012003,0.03872963932723949,0.02721960325343483,0.013737586411860467,0.0175657012712274,0.06355499644308979,0.016096792944187845
0.012755844937452096,0.013551766362959234,0.04532269120224793,0.027142945367317,0.011134360958574738,0.015865335899075343,0.0835486692921291,0.01914927123784668
0.013532685221835646,0.013380537406190215,0.0479981296320352,0.028208375819762984,0.013484478520788263,0.01696520765772671,0.06544774935761097,0.017197803473485276
0.011099612544901436,0.015616415754219092,0.042094292548384614,0.029144542565489952,0.012671349444251082,0.01714189812708292,0.06739925492484856,0.016701212573198256
0.01418985556343412,0.015300566780070239,0.040824578619055384,0.030985448565345245,0.014488348834373393,0.02107132459588834,0.07775846429150327,0.01699118789801251
0.011922975283674886,0.015013869052830973,0.047142655564281696,0.023806580685109366,0.012574627031993168,0.019684861587920804,0.08741151884580557,0.016868979894213786
0.01334248237681263,0.01363411535831309,0.04842912563502223,0.02648199865371108,0.013574300775110133,0.023816385948860222,0.09543649896735293,0.017266537847504024
0.01265152518928537,0.013913402693913121,0.03458216273641739,0.024521439291916008,0.012119842611483132,0.017359479944920587,0.09558050847471343,0.01594210087814443
0.01378162177114508,0.01840117103228578,0.044635481831618744,0.027738070156332076,0.013315626531739568,0.01747830162983044,0.06424584118724434,0.017884449004362857
0.01303925803228466,0.014154548372451012,0.0379291112739419,0.029279270508605574,0.013162805837409187,0.023771774887154637,0.09994799488516792,0.020119648423564025
0.014023955572219988,0.014956355516793593,0.043597194142261673,0.02757096057914317,0.013196426680155587,0.01993435838843634,0.10882958913074738,0.0193875600298221
0.011444324521077395,0.012983502788592487,0.03933010504526131,0.026871790517042634,0.012358669192161787,0.019979308182076775,0.08427415497831066,0.01856554633258697
0.01181967301428945,0.013618606611969035,0.04420048350906985,0.030444622272017656,0.011829353733931913,0.018837372913109905,0.09686751010792949,0.01966731519627566
0.01214969841437364,0.01460538570897926,0.04016703840744451,0.027915829428813724,0.011493430190137127,0.01973524082967545,0.09673950516310398,0.017501667461387472
0.012653687952073717,0.013181310258805416,0.04674597625867374,0.026167541364887956,0.011090425309318244,0.017165609015161357,0.09126303639570069,0.022817247977888474
0.014002784787756408,0.013021026606422228,0.048142244037066406,0.028580056194044166,0.01286637639439412,0.017762695231624243,0.08907946010005374,0.020306560880863935
0.013457448262643753,0.015386215643012706,0.03696809584850294,0.02770425024002254,0.012500121250918152,0.01786430564025992,0.09244843088288712,0.019152645996265545
0.014434709489808082,0.03032506835795465,0.04240799420232372,0.028917550228521546,0.013649625104436222,0.018972279006721594,0.08419057747843474,0.018487823978116876
0.012250739951724005,0.015140194504507603,0.04884208677395403,0.02707358826146414,0.013475882367596153,0.022041822937719762,0.11683480034631656,0.020514896993703544
0.012016030562890653,0.016841928520168217,0.047089612685315106,0.02910540401627162,0.012055555083105417,0.021058808370758356,0.12341630859455596,0.02080874869945305
0.014633927926576423,0.024200820767560756,0.043096009310118526,0.024220943859070948,0.01347992914007299,0.018592048686057225,0.08555969982746446,0.015043183344645581
0.010897960604611102,0.018299675816426973,0.04572833656320578,0.025608524817051972,0.011590742086634872,0.01586088677277815,0.08853932675985263,0.016850963314139905
0.011865514634257921,0.014618373761325925,0.04667452654712264,0.029894956133585292,0.012863842179772728,0.023694744485722057,0.10429526250662102,0.019495463375341682
0.011956575220241326,0.01988527268356632,0.05356771416377022,0.03221237670981347,0.013522127314845433,0.02096471708826894,0.11097096293573859,0.01990529778058986
0.015249322264663655,0.034509190859425005,0.045606983967551015,0.025398959109741527,0.011800850782767975,0.020564968394995303,0.08448124770131496,0.01825192080964631
0.012094317932384612,0.03323212706951512,0.045607419082373965,0.026886926260181833,0.011767256921240775,0.020112914332870536,0.102261485758727,0.017964022422740464
0.012004280466308212,0.013862129918404395,0.036638204336973026,0.025485679068167982,0.01116940497524674,0.01891742236253719,0.09480987299224557,0.020000360897189387
0.013799734675799227,0.015752110623563718,0.04365846559455706,0.029889263989047787,0.01330574562757842,0.020178786214945857,0.09071072505736275,0.016935213433323545
0.01253521182315197,0.01467395534007447,0.04015734610606743,0.029566109107250185,0.011922957810255064,0.015465366432665675,0.08128573544287726,0.014169165301703165
0.012243121681403625,0.013445683814146457,0.039771517284801806,0.025383729520485277,0.012437428727875748,0.020869500109203756,0.09333457884199095,0.01870492749363713
