electrode_1_waveform_length,electrode_2_waveform_length,electrode_3_waveform_length,electrode_4_waveform_length,electrode_5_waveform_length,electrode_6_waveform_length,electrode_7_waveform_length,electrode_8_waveform_length
2.4140760000000006,3.289087500000002,9.43756,5.109400999999997,2.0546995000000003,3.7578305000000016,12.43755400000001,3.0390865000000016
3.1328360000000015,5.140666999999999,9.461016999999996,4.7891014999999975,2.4765860000000015,2.9062815000000017,11.781298000000012,2.898455500000001
3.0547060000000017,5.8594155,11.07036850000001,6.343795999999991,2.390642000000001,3.5703415000000014,15.218794500000003,2.898451500000001
2.679710000000002,3.242207500000002,8.546922499999999,6.65627899999999,2.3203275000000008,3.234399000000001,13.507917500000003,2.7500260000000014
2.257832500000002,4.578140999999999,9.695380000000002,6.898493999999991,2.5859590000000017,3.2969000000000004,7.226634499999995,2.531269000000001
2.2890800000000016,2.546896000000001,8.718805499999995,5.750037999999993,2.2343990000000016,2.5703305000000007,15.007826500000013,2.742206500000001
2.359395000000001,2.7734555000000007,6.406291999999994,5.187531999999996,2.250020000000001,3.0234550000000007,9.546954500000004,3.125027500000001
2.25002,2.781276500000002,7.398473499999992,5.343781999999997,2.4609630000000013,3.9140805000000016,14.796963000000005,2.828142500000001
2.328146000000002,2.3984535000000013,6.976594999999994,4.7187719999999995,2.0547055000000016,3.0312655000000017,9.492257500000004,3.1250220000000013
2.1797115000000016,2.6562730000000014,7.468802999999994,4.976590999999997,1.9062670000000008,2.312515000000001,7.367238499999996,2.890652000000002
1.984396000000001,2.2734575000000015,6.484413499999996,4.414087499999998,2.2109545000000006,2.2890850000000014,7.515657999999995,2.3906470000000013
2.3906460000000007,2.148461000000001,7.757852499999991,4.375030500000001,1.7343890000000004,3.0469020000000007,12.726638000000007,2.875019000000001
2.2500190000000013,2.1093960000000016,6.562539999999995,4.640655999999999,2.0312705000000006,2.1640785000000005,8.875050000000007,2.468770000000001
2.601585500000002,2.5703325000000015,6.992241999999993,4.609405,2.1875180000000007,2.8515805000000003,8.6797125,2.5078265000000006
2.2500220000000004,2.6250165000000014,8.000032999999995,4.382836,1.734391,2.6953305000000007,11.750100000000009,3.2812780000000017
2.515649000000001,2.3359525000000008,8.437558499999994,4.953173999999997,2.3828355000000014,2.625018000000001,9.234400000000006,2.7890875000000017
1.921899000000001,2.6250160000000013,7.445355499999993,5.710972999999996,2.203144000000001,2.671898000000001,8.421933999999998,2.5078255000000005
2.4687750000000017,2.468770500000002,7.000049999999997,5.468801999999995,2.492203500000002,3.1875160000000022,9.070342500000004,2.562519000000001
1.9687680000000007,2.6328335000000016,7.726616999999995,4.242218500000002,2.000017000000001,2.921896000000001,10.445394500000006,2.6718920000000006
2.375023000000002,2.3750230000000014,8.375040999999996,4.703146,2.4062715000000012,3.343759500000001,12.437586000000007,3.0312600000000014
2.1953305000000007,2.1718965000000017,5.968773999999993,4.539090500000002,2.039080500000001,2.7734565000000013,12.171969000000008,2.5625155000000013
2.414079500000001,2.8281450000000015,8.007869999999995,4.734402999999997,2.007831500000001,2.6718905000000013,9.500046000000001,3.0547105000000014
2.1875190000000013,2.507840500000002,6.546911999999994,4.929709999999996,2.1562750000000017,3.1484535,13.414200500000014,3.007825500000001
2.382828500000001,2.6562690000000013,7.351586499999994,4.328158,2.078145,3.171892000000001,15.570385500000006,3.1797175000000015
1.9218900000000005,2.2812700000000015,7.64849699999999,4.5937800000000015,2.0625200000000006,2.8828405000000017,12.304778500000001,2.9609555000000007
2.0703275000000008,2.4375245000000016,8.015657999999991,5.30471499999999,2.039083500000001,3.3125230000000014,15.804763000000008,3.414093500000002
2.1328330000000015,2.570331500000001,7.3672509999999924,4.578149999999999,1.859395000000001,3.468776000000002,13.062579000000003,2.8359605000000023
2.2109580000000006,2.085955500000001,8.515682499999993,4.484422,1.7109555000000007,2.781274000000001,15.03921100000001,3.6797165000000014
2.539082000000001,2.1015785000000005,8.828205999999994,5.273467499999996,2.171891500000001,3.0781515000000015,14.265759500000001,3.312521000000001
2.210952500000001,2.5781430000000007,6.593777999999991,4.687538999999999,2.023454500000001,2.539083000000001,12.820382500000001,3.164089500000001
2.492205500000001,3.4844005000000013,7.101598999999994,5.085964999999995,2.2968950000000006,3.023466500000002,12.000047500000008,2.750014500000001
2.3281410000000013,2.7578425000000024,9.578191999999998,4.5390845,2.375017000000001,3.406268000000001,16.500104999999998,3.2187735000000015
2.1172065000000013,2.632826500000001,7.3828124999999964,5.304714999999997,2.023450500000001,3.359402000000003,15.734458000000004,3.3203345000000013
2.6953290000000014,3.992223500000001,7.390669999999993,4.218784000000002,2.2343950000000006,2.703144000000001,11.476609000000003,2.4218930000000007
1.773451500000001,2.828139500000002,7.851605999999992,4.875038499999998,1.9062670000000006,2.601590000000002,12.461023499999998,2.734392500000001
2.1172065000000013,2.5781430000000007,8.914103499999996,5.390648999999996,2.2968920000000015,3.6797115000000025,14.039163000000006,3.000017000000001
2.070326500000001,3.062515500000001,9.054742499999998,5.5937839999999985,2.179707500000001,3.6172055000000016,17.53918849999998,3.3047125000000017
2.484402500000001,4.398461000000002,8.05471499999999,4.359405,1.8672025000000008,3.2578255000000014,11.828219000000006,3.140654000000002
2.117210000000001,4.593783000000001,8.546925999999994,4.7890954999999975,2.0156460000000007,3.296899000000002,14.734418500000007,2.8359595000000017
2.007834000000001,2.265647500000001,6.390651499999995,4.375033500000001,1.875020000000001,3.0859585000000016,13.000063000000008,3.1562640000000015
2.507830500000001,2.5156395000000003,7.726608999999995,5.320354999999997,2.3203330000000015,3.3515955000000015,13.078273000000001,2.828146000000001
2.2500180000000007,2.7656510000000014,7.007867499999991,5.242218999999998,1.9609500000000006,2.8593980000000023,12.734431000000006,2.312514000000001
