electrode_1_mean_absolute_value,electrode_2_mean_absolute_value,electrode_3_mean_absolute_value,electrode_4_mean_absolute_value,electrode_5_mean_absolute_value,electrode_6_mean_absolute_value,electrode_7_mean_absolute_value,electrode_8_mean_absolute_value
-0.008906326666666667,-0.009427133333333334,-0.011250086666666667,-0.009895906666666666,-0.01031256,-0.009375073333333334,-0.007916716666666667,-0.009322983333333333
-0.009791736666666667,-0.009843803333333333,-0.010729223333333334,-0.00875007,-0.010104236666666667,-0.009947996666666665,-0.009010476666666666,-0.008281296666666667
-0.00937508,-0.01031258,-0.010781323333333336,-0.009479260000000002,-0.00973965,-0.009010486666666668,-0.008854226666666666,-0.009010490000000001
-0.00880214,-0.00937506,-0.010781303333333336,-0.009270886666666667,-0.010156343333333333,-0.008750066666666667,-0.008958386666666665,-0.0089584
-0.008906309999999999,-0.010208413333333333,-0.010416736666666667,-0.00958342,-0.009947983333333334,-0.00953131,-0.008750063333333334,-0.009062573333333334
-0.009062586666666666,-0.010312566666666667,-0.010572989999999999,-0.009635473333333332,-0.01015633,-0.009947986666666667,-0.009218793333333334,-0.009062556666666667
-0.009583373333333332,-0.009687590000000001,-0.01015631,-0.009166763333333333,-0.009010486666666668,-0.00906257,-0.008072963333333334,-0.00932298
-0.009479253333333333,-0.009427173333333334,-0.010000013333333332,-0.008906316666666667,-0.009843813333333333,-0.009062546666666667,-0.008645873333333333,-0.00895841
-0.009531306666666668,-0.00968756,-0.010677159999999998,-0.0096355,-0.009583389999999999,-0.009375066666666668,-0.009479223333333333,-0.009583406666666667
-0.009322983333333333,-0.010416763333333334,-0.011093823333333334,-0.008958386666666665,-0.009531296666666668,-0.009531306666666668,-0.009114643333333334,-0.009218806666666666
-0.009427153333333332,-0.009010493333333335,-0.010104246666666665,-0.00932298,-0.009791736666666667,-0.00942715,-0.0092709,-0.009166723333333333
-0.009427136666666667,-0.010208406666666668,-0.010312576666666667,-0.009114639999999999,-0.00953131,-0.009427153333333334,-0.008906289999999999,-0.009583413333333334
-0.0098438,-0.01015633,-0.010364673333333334,-0.009322996666666666,-0.010052173333333334,-0.009166743333333333,-0.00942714,-0.009375063333333333
-0.009635493333333333,-0.009739636666666667,-0.011302146666666667,-0.009843836666666666,-0.01052092,-0.009583393333333332,-0.009322973333333333,-0.009583403333333334
-0.00932298,-0.010260496666666665,-0.010208416666666666,-0.009270896666666667,-0.00932301,-0.009479233333333333,-0.008697966666666668,-0.009114643333333334
-0.01031257,-0.009218826666666666,-0.01031257,-0.008906309999999999,-0.01046882,-0.009947993333333332,-0.00895837,-0.00895838
-0.008645873333333333,-0.00953131,-0.010156340000000002,-0.009270929999999998,-0.010364646666666666,-0.010208406666666666,-0.009270883333333334,-0.009947996666666665
