electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
6,16,11,14,9,7,8,6
11,11,5,12,6,9,7,10
6,17,16,11,12,12,12,6
2,15,5,10,8,7,8,8
10,13,4,10,10,8,15,0
10,11,6,19,8,10,6,7
6,10,7,13,13,18,7,10
3,5,11,9,7,13,6,4
7,8,12,11,5,17,10,7
6,2,6,7,7,11,10,9
3,5,9,16,6,4,8,7
9,6,4,3,11,6,10,4
12,14,6,6,14,10,6,3
2,9,7,7,11,15,4,2
10,14,4,12,15,20,13,5
8,10,9,11,13,9,14,9
5,10,6,11,7,21,14,10
4,13,5,7,15,29,8,6
5,19,14,13,11,6,5,8
5,8,8,9,7,16,5,1
7,4,5,14,16,32,11,11
9,10,9,9,11,9,6,9
7,10,4,7,5,18,11,8
12,15,7,11,7,12,9,8
11,13,10,13,12,13,12,13
9,8,9,8,8,13,11,3
11,12,8,13,8,10,14,8
10,10,16,5,13,9,7,8
6,14,9,17,6,20,7,5
5,7,11,16,3,8,18,2
11,5,12,20,7,8,7,9
8,14,6,11,10,6,5,3
13,17,7,15,20,14,13,13
11,17,16,15,12,20,12,7
10,14,4,17,5,12,15,16
8,17,14,19,14,15,5,10
3,7,9,17,8,14,14,12
11,11,21,13,23,9,9,8
6,12,16,17,20,16,12,11
11,16,23,22,6,12,12,10
13,15,16,13,9,23,6,13
13,9,11,18,12,17,4,15
15,14,11,7,18,11,7,8
10,17,17,10,20,16,7,9
13,8,11,21,18,10,8,10
12,12,10,8,15,9,6,9
14,14,11,14,8,4,10,10
17,11,9,16,14,19,10,9
10,7,9,10,9,10,10,10
5,18,21,8,14,11,10,17
12,16,4,9,11,9,4,11
11,10,10,13,8,9,7,9
7,14,8,18,14,4,11,10
13,11,15,20,18,19,13,15
13,11,16,17,12,11,8,18
7,9,15,9,14,13,7,10
10,11,8,13,11,10,14,10
5,17,8,12,18,15,6,14
10,12,11,10,10,18,11,16
14,11,10,13,10,12,9,11
10,13,16,13,16,15,12,9
16,20,17,12,11,11,12,11
11,18,7,8,12,4,10,6
10,14,14,11,17,10,5,7
15,13,10,19,15,11,4,12
11,12,16,5,5,10,14,15
18,13,12,18,9,7,4,10
9,16,4,10,12,10,11,9
8,5,6,10,9,10,4,6
13,10,23,18,17,11,10,23
7,8,7,10,18,11,15,13
8,16,10,17,12,14,12,11
34,18,23,23,12,16,11,15
35,16,16,16,12,19,6,17
29,24,15,15,11,14,9,4
22,11,18,26,20,14,14,9
33,17,6,18,16,14,11,14
27,14,19,10,15,12,17,8
37,17,9,21,12,10,15,14
31,15,13,13,11,8,9,12
30,10,16,14,18,10,13,18
32,16,11,15,12,11,16,6
22,19,15,16,13,12,20,10
21,17,14,20,16,9,15,11
19,15,10,19,9,19,12,14
31,27,25,19,15,9,15,12
26,17,14,21,14,10,15,16
28,14,12,14,18,9,17,6
39,14,10,25,20,10,20,9
26,18,25,8,12,8,10,16
15,9,9,16,14,10,16,6
41,17,15,16,14,4,15,9
28,19,15,20,11,14,7,13
33,17,12,16,23,12,16,13
33,19,13,19,15,16,8,7
35,20,19,14,14,19,10,14
26,19,15,11,16,16,11,22
32,18,20,19,21,19,17,11
28,16,13,15,10,11,5,12
24,15,11,10,16,12,8,4
48,17,15,19,12,12,9,11
27,14,14,5,13,13,11,13
24,28,60,32,40,27,14,11
22,21,25,38,26,13,8,11
18,14,20,39,28,25,6,19
14,23,19,38,30,23,10,19
26,17,25,38,26,28,7,11
19,21,18,35,44,18,9,13
19,17,21,41,36,17,6,8
29,16,15,30,30,18,11,13
30,19,15,32,32,19,12,12
20,23,25,39,37,24,12,16
19,26,29,27,27,28,7,12
22,28,27,37,30,17,8,12
22,18,19,29,29,15,9,8
21,19,27,37,34,22,7,7
20,27,11,47,32,17,10,6
32,21,50,33,29,17,14,25
18,18,43,32,25,22,6,16
22,27,14,32,19,17,9,16
