electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
23,52,72,73,29,20,62,47
37,56,72,56,31,34,57,39
33,45,70,57,29,46,55,29
37,42,66,53,30,33,52,35
42,46,77,58,35,30,56,32
33,25,69,44,24,37,58,46
25,26,59,43,23,35,53,33
35,44,56,45,21,32,51,23
48,54,76,74,33,39,60,37
34,47,67,54,29,38,54,36
40,57,67,74,41,41,54,37
42,55,63,59,34,37,54,32
38,52,80,62,30,44,49,32
44,63,80,68,31,39,49,30
27,61,72,57,28,28,36,37
26,48,74,67,26,34,45,31
23,65,62,63,22,31,53,41
46,44,69,64,32,41,63,41
31,61,72,57,28,26,48,35
31,53,80,58,35,39,62,32
55,72,75,58,14,36,48,34
35,50,70,58,29,27,44,28
36,46,63,53,21,35,55,30
30,56,58,48,22,39,52,32
28,53,68,70,35,41,48,36
28,48,64,59,19,30,48,28
34,42,67,36,28,43,58,36
26,52,59,61,39,22,48,29
30,47,60,65,26,33,50,38
34,35,77,52,25,33,67,26
38,52,62,58,34,33,49,37
29,43,64,46,31,33,69,28
22,46,71,56,38,33,55,31
32,36,67,59,29,36,62,33
34,51,73,54,30,31,50,26
30,50,73,59,26,33,47,36
33,46,67,54,26,47,46,30
29,54,62,61,28,28,55,37
30,46,71,49,25,46,50,35
32,56,72,51,20,37,50,35
36,51,71,65,32,42,66,36
35,68,63,49,23,25,56,28
57,78,72,66,39,43,56,28
46,48,64,47,32,39,45,37
35,62,46,46,28,34,57,37
35,45,49,44,23,34,56,38
34,56,61,31,28,33,56,34
36,40,49,43,32,36,50,42
30,38,44,34,29,48,53,43
30,40,42,43,24,29,43,38
42,58,42,33,29,35,55,35
38,55,50,31,18,36,53,40
38,36,50,37,25,35,39,33
31,35,41,51,20,28,60,41
43,44,44,35,34,33,66,35
41,43,45,36,40,54,70,38
29,33,49,39,21,37,68,35
22,44,38,52,25,26,53,27
26,38,41,35,17,21,58,42
37,43,42,35,27,34,54,28
37,55,43,37,25,36,51,32
40,46,38,33,26,35,53,33
38,50,39,32,26,25,63,30
30,52,48,33,19,29,48,37
47,63,35,28,26,42,55,46
40,59,37,37,24,36,46,26
25,53,35,25,18,39,75,43
39,54,29,22,32,40,66,38
32,60,50,31,25,30,49,42
43,48,39,48,24,42,45,36
42,43,49,38,25,40,60,47
34,38,47,43,23,51,75,36
31,34,50,38,21,43,67,43
33,42,41,33,22,19,62,31
38,44,47,32,30,46,74,45
35,51,31,30,25,29,56,35
36,42,37,31,18,35,74,46
34,57,44,28,19,40,48,47
37,44,36,43,25,26,56,33
26,54,34,34,30,39,60,45
36,46,28,23,24,36,54,39
42,67,36,30,23,46,52,36
62,61,44,47,28,49,54,44
32,59,55,28,23,38,60,33
34,50,40,27,27,31,65,43
32,38,32,39,30,36,63,33
36,55,50,39,22,44,71,39
49,49,58,36,32,40,68,36
42,58,43,37,22,28,66,40
28,57,55,30,30,35,68,47
46,61,38,43,23,44,50,31
38,58,61,33,37,36,62,39
41,64,46,38,25,35,57,40
32,38,42,28,29,36,68,39
33,55,49,32,28,43,44,31
34,34,41,30,28,33,47,39
33,51,42,31,32,32,55,44
35,50,43,29,28,26,55,41
49,60,49,35,27,42,50,42
38,52,40,23,21,33,42,38
34,46,37,36,28,37,67,29
30,44,35,39,32,37,46,39
25,41,55,31,26,25,61,26
41,56,36,29,25,43,44,41
42,54,40,39,19,32,55,37
29,50,42,34,19,38,57,39
28,47,30,36,29,37,40,39
38,54,37,35,28,45,60,41
39,62,42,24,26,39,58,31
27,71,52,34,28,45,71,49
25,57,46,36,14,27,59,46
27,41,52,27,25,41,62,37
38,56,48,36,19,48,67,49
36,63,49,44,20,27,46,47
40,57,39,36,21,34,59,28
27,39,49,38,18,36,65,45
29,51,39,35,25,37,57,34
30,46,51,36,13,23,67,39
25,57,48,34,19,48,70,40
28,68,31,42,24,50,73,41
30,58,75,47,32,42,71,53
27,53,52,50,25,46,78,25
20,51,50,28,21,39,86,46
26,59,65,50,28,44,65,43
22,30,62,32,23,48,62,40
34,46,60,32,20,42,71,40
27,67,69,39,13,38,73,47
30,52,52,43,25,37,69,45
24,57,65,52,22,44,69,42
42,60,64,51,27,36,67,41
29,45,68,43,22,46,73,47
37,58,67,52,25,43,77,62
33,54,53,38,30,32,59,42
36,70,54,34,27,37,70,39
