electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
65,85,92,74,45,63,61,69
63,79,93,59,46,63,63,85
74,83,86,64,45,64,64,72
76,86,92,73,37,67,74,90
77,76,92,70,42,62,73,87
70,81,79,75,40,82,68,90
70,86,95,66,44,67,63,80
79,83,90,67,42,68,66,75
69,81,94,73,38,69,73,75
75,69,76,68,48,70,72,86
73,88,83,70,44,64,72,78
84,70,86,64,42,66,73,81
80,70,77,49,50,80,84,84
75,58,78,49,53,68,84,95
96,76,82,57,62,74,77,87
88,66,88,66,47,67,78,92
88,70,88,49,43,71,76,71
79,69,79,47,34,62,71,80
74,68,77,55,50,81,74,78
71,75,78,55,44,77,78,84
75,75,92,60,62,85,66,84
90,74,81,62,49,59,65,91
86,75,86,56,58,74,66,94
73,74,78,62,46,72,83,72
89,64,83,63,46,80,86,96
79,79,82,51,42,73,78,77
92,66,83,68,55,54,63,72
82,66,83,53,62,81,77,87
69,80,85,80,46,58,71,74
63,70,90,73,56,67,78,80
57,74,79,71,52,53,69,76
65,72,87,61,41,60,80,75
66,79,97,69,41,63,89,81
73,70,86,69,52,48,73,71
74,74,91,71,36,46,70,86
71,73,88,85,45,47,62,71
47,62,95,80,46,44,75,73
58,71,89,79,47,60,70,86
67,75,80,75,58,52,71,78
60,75,91,80,49,51,89,98
59,81,79,70,41,41,50,81
61,67,83,61,42,47,64,83
58,64,82,78,42,70,69,60
78,74,86,71,50,61,78,74
73,77,81,61,51,61,76,76
60,69,92,65,45,74,80,86
56,62,87,74,43,58,70,77
62,66,80,63,42,67,65,70
