electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
35,30,22,23,35,12,13,28
35,26,20,29,32,18,17,30
23,25,27,28,34,15,24,13
38,41,21,25,34,24,15,13
26,30,26,21,22,20,13,12
33,39,16,39,28,24,4,20
24,30,77,63,33,20,16,16
27,24,73,62,16,16,12,13
62,66,85,55,51,51,49,45
56,73,88,68,45,48,28,36
44,88,79,55,35,34,43,29
49,66,81,64,38,40,33,29
57,87,87,59,39,43,39,22
67,66,83,58,41,36,25,21
63,75,76,56,39,42,35,32
47,63,79,59,45,44,21,32
55,68,69,63,43,41,29,34
58,79,90,57,53,47,19,27
52,65,75,55,37,39,30,17
43,62,78,64,42,48,34,29
61,58,74,61,40,44,23,27
54,57,89,42,45,48,18,25
58,67,73,52,55,45,24,28
68,91,86,63,44,41,29,23
76,84,84,61,49,52,21,29
70,75,85,58,53,43,33,35
66,81,70,57,43,40,24,34
67,87,74,52,49,58,33,29
41,61,78,48,49,41,28,28
40,57,82,66,43,46,34,31
48,67,74,45,44,57,34,32
24,44,84,57,35,35,20,18
34,41,66,63,37,27,31,24
40,50,82,56,53,51,28,25
38,64,73,53,48,51,30,26
52,66,66,56,33,44,20,25
52,43,71,45,45,36,29,19
43,55,73,63,45,47,28,16
37,51,66,50,43,38,21,20
48,69,73,47,37,36,27,30
44,66,93,60,39,28,28,29
45,66,87,54,56,49,23,29
40,65,74,66,46,42,24,24
49,60,75,71,55,58,36,30
58,66,98,68,43,48,34,36
34,48,82,56,41,34,31,31
36,39,79,54,51,38,19,27
44,45,70,62,53,43,26,26
35,52,71,54,32,39,30,28
44,61,73,57,50,48,30,20
36,46,82,66,41,44,34,34
31,44,62,54,39,45,36,32
36,63,75,53,52,61,22,30
42,71,79,60,46,39,25,43
43,56,73,53,39,37,38,22
30,46,58,58,45,46,36,27
30,52,83,51,39,36,31,27
35,55,82,61,43,46,32,29
42,33,75,65,47,54,30,24
39,48,73,51,46,46,23,27
42,52,68,70,47,48,28,32
42,41,89,63,35,35,29,33
35,52,83,70,43,46,28,35
36,61,76,65,35,46,23,35
40,40,72,60,46,43,22,28
32,50,73,56,32,43,36,22
29,51,74,62,75,46,38,18
24,48,89,56,39,35,12,23
32,50,64,45,28,34,22,33
34,44,69,59,44,51,29,32
44,57,84,64,47,41,21,23
23,54,67,51,43,47,22,20
22,67,76,54,25,33,16,21
37,54,80,56,41,30,31,22
37,67,63,53,53,58,45,30
26,45,74,59,39,41,24,23
46,56,60,55,37,37,23,33
39,58,82,69,42,38,32,31
42,36,77,49,35,43,24,23
33,45,63,64,47,46,23,33
36,48,76,70,39,29,20,23
47,56,74,65,54,52,25,23
43,42,78,53,50,48,30,27
48,57,75,53,44,52,27,33
44,45,68,58,53,46,21,41
51,49,88,56,41,47,18,35
41,62,76,62,40,60,27,28
43,48,78,57,45,40,29,23
54,65,80,54,48,54,37,30
50,63,85,58,48,45,24,38
64,75,80,68,47,50,39,37
53,48,62,75,42,63,37,35
40,60,67,54,39,39,22,27
50,41,72,68,46,36,29,29
43,55,82,56,44,41,32,27
50,63,79,62,46,53,35,38
42,48,72,57,33,42,34,36
41,59,71,65,50,52,30,39
38,52,80,58,41,44,32,31
44,57,65,58,45,55,33,33
52,61,79,66,50,50,34,37
40,56,79,66,40,40,28,33
55,39,71,57,39,36,25,36
40,63,81,39,40,45,32,33
40,53,73,57,48,43,30,36
35,50,68,56,42,42,29,33
53,47,80,62,46,50,30,30
38,44,80,61,45,51,29,34
43,51,69,64,46,52,34,30
49,67,72,60,40,50,43,36
32,43,73,33,42,67,44,48
36,35,71,38,38,70,33,46
39,39,71,37,47,53,32,38
40,48,71,34,35,60,31,57
28,41,67,44,40,48,32,32
35,36,63,38,41,52,37,45
43,43,69,34,41,55,36,51
27,36,71,37,38,61,35,44
25,30,68,39,57,74,36,48
34,41,70,36,54,70,45,45
52,42,68,42,52,72,47,46
27,37,73,33,48,69,37,51
29,29,70,38,55,70,34,38
28,23,68,28,47,65,38,47
37,45,70,45,59,70,46,53
42,32,67,34,52,48,41,39
34,37,70,47,42,57,42,54
21,36,68,32,36,60,32,46
36,36,70,23,40,70,36,53
28,35,64,27,43,51,36,48
30,29,71,29,41,72,30,57
32,34,72,23,46,67,37,56
29,38,71,34,35,55,42,52
26,34,67,33,40,59,34,43
37,38,72,30,51,60,34,51
40,35,69,33,42,60,44,60
47,39,74,34,47,66,42,55
38,45,71,32,55,67,43,38
33,43,70,36,57,66,43,49
31,38,65,30,46,50,37,52
37,39,68,28,34,64,37,51
30,35,69,29,49,59,28,51
24,42,76,29,49,65,45,45
31,34,72,36,29,60,27,55
47,52,73,34,49,59,48,48
41,44,72,27,48,58,51,55
30,40,69,26,41,59,33,48
27,39,67,28,38,54,44,45
33,38,71,42,47,67,41,52
34,39,76,33,33,62,36,62
47,39,69,30,41,57,36,43
39,46,68,31,44,53,38,59
30,32,67,38,50,60,43,56
35,39,69,33,40,61,39,49
37,36,70,27,41,60,40,61
34,49,73,23,39,67,41,51
31,37,71,40,36,62,33,59
27,34,71,33,29,52,22,49
30,38,69,39,34,54,30,51
26,48,71,40,58,71,45,49
42,39,72,33,41,76,43,56
38,46,70,30,35,59,31,50
55,68,71,41,46,59,48,48
37,45,70,41,42,73,34,51
36,46,74,34,53,68,47,55
44,34,72,24,58,63,46,55
29,38,71,39,55,57,48,61
40,48,70,41,41,67,39,61
26,30,71,29,36,57,38,56
35,47,72,31,45,65,42,54
36,52,72,40,46,67,39,66
39,54,70,28,51,73,44,54
36,44,68,32,46,57,35,52
39,50,76,43,42,73,41,63
51,44,72,52,50,64,36,65
44,45,66,43,45,66,42,57
46,60,70,36,50,72,51,53
43,51,67,38,53,64,45,59
38,54,73,39,44,74,39,56
32,55,68,33,52,69,51,53
49,49,75,47,50,70,42,61
38,37,78,21,36,58,35,55
37,36,83,30,48,63,52,54
39,58,76,27,42,66,46,53
50,36,77,48,54,65,45,53
37,38,68,35,46,71,35,56
40,38,74,31,40,57,41,58
40,52,70,38,41,67,43,68
33,40,69,38,41,67,33,55
46,58,71,38,56,75,38,57
36,44,73,39,34,58,39,55
51,60,80,40,55,67,43,52
43,51,71,34,41,58,42,59
54,49,70,37,30,62,52,61
39,54,75,34,30,61,40,63
39,36,69,40,44,66,42,60
44,46,73,50,46,62,43,58
33,43,76,38,47,68,49,66
34,46,69,42,41,60,45,50
39,50,70,34,42,69,53,49
28,28,76,42,52,63,42,58
34,40,69,41,47,69,46,52
33,41,74,30,34,51,28,53
39,52,69,33,43,60,44,47
33,51,73,31,51,48,22,58
33,45,73,25,40,57,42,58
29,37,74,29,35,60,27,58
32,37,74,46,45,65,38,68
35,48,73,35,41,58,50,57
36,54,72,41,42,69,37,52
33,40,74,27,39,62,36,62
29,30,69,28,37,58,33,54
25,40,76,39,37,53,43,52
45,29,69,29,33,70,32,65
28,39,76,26,36,54,33,54
33,38,86,26,37,68,36,52
36,48,76,29,36,63,38,56
39,76,88,64,16,23,27,29
70,94,100,67,52,42,49,52
78,81,95,72,43,37,42,55
86,91,94,79,49,42,48,48
69,84,98,80,54,33,33,44
73,94,84,73,60,51,46,61
81,86,90,89,58,47,32,47
85,84,90,71,58,50,47,68
74,93,86,69,53,38,35,56
86,82,91,66,49,30,39,48
78,90,86,83,47,48,58,68
74,82,82,83,52,37,39,75
