electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
45,78,33,19,32,41,34,31
27,74,31,18,36,50,19,17
35,62,32,25,25,37,27,17
42,76,26,21,30,38,29,30
43,68,34,27,26,37,27,29
35,74,37,24,29,54,28,17
53,88,44,28,50,40,24,27
45,83,49,33,46,49,29,27
40,77,37,34,30,44,19,33
36,59,28,28,25,40,22,18
36,53,28,23,32,29,23,22
28,49,28,30,32,30,25,26
29,33,10,19,23,50,28,24
27,46,32,23,22,50,47,17
44,66,44,28,30,47,32,32
28,77,38,27,39,43,16,28
49,76,53,30,31,56,25,30
29,76,51,20,37,33,15,29
38,70,35,32,29,32,18,18
35,57,35,30,35,49,35,19
28,65,39,33,20,47,29,17
45,64,35,24,32,41,30,27
39,71,40,32,40,41,27,28
46,83,34,30,37,38,30,38
39,62,48,26,32,34,34,29
51,78,35,29,33,56,31,27
42,67,37,30,42,45,28,28
40,87,35,29,26,30,24,37
37,68,36,32,48,37,36,26
56,71,71,53,46,74,40,53
43,65,72,45,47,55,31,48
46,63,79,45,46,60,38,48
28,65,63,42,46,53,30,48
30,52,71,43,41,62,48,46
33,62,73,48,46,63,68,43
40,60,67,47,48,60,35,57
29,64,67,43,39,62,40,51
33,69,60,44,56,71,45,52
37,73,63,35,52,71,46,52
28,67,60,26,45,60,41,39
33,61,62,46,44,47,48,54
35,61,68,45,48,66,48,48
32,71,73,41,48,62,53,36
35,63,68,35,39,63,42,40
30,67,68,39,46,74,40,43
40,64,61,43,42,61,39,56
33,66,61,46,41,64,40,36
32,72,63,41,66,65,57,46
42,77,62,38,42,63,51,48
33,61,62,31,47,58,56,44
37,61,60,36,47,79,55,47
43,85,52,36,45,68,56,44
34,89,67,40,48,67,50,41
45,71,64,27,44,48,43,46
22,78,66,38,37,66,51,54
31,70,57,41,51,67,56,48
38,76,61,49,59,68,53,54
41,79,63,52,38,72,46,46
43,72,67,30,44,70,51,42
29,72,64,36,42,71,49,42
32,60,65,34,42,72,47,36
32,65,64,37,46,64,50,44
32,59,53,46,44,65,56,38
28,66,72,59,56,54,50,52
33,84,65,47,52,71,49,48
57,80,71,53,54,59,51,51
40,78,75,41,52,64,48,50
33,78,62,31,46,64,55,44
35,63,69,44,36,71,40,47
45,69,74,36,39,62,38,56
21,63,67,44,45,47,46,42
36,62,63,44,42,65,55,42
32,68,60,32,40,59,52,43
36,60,65,45,58,56,54,39
32,66,60,32,47,65,63,51
23,77,64,25,37,48,58,53
39,74,64,31,48,64,42,44
45,64,64,42,44,61,50,44
42,83,57,40,45,63,50,49
40,78,63,43,48,71,55,55
34,72,61,37,49,60,54,43
29,67,60,46,43,53,59,38
32,72,63,44,47,54,46,51
31,77,64,42,40,55,48,47
32,68,54,36,48,67,44,46
33,59,64,41,55,75,53,49
40,80,70,33,42,63,51,47
37,72,62,37,47,58,54,38
35,78,69,43,44,56,57,52
47,75,57,22,35,59,52,39
40,66,70,42,40,63,47,43
30,60,60,27,34,61,54,42
53,79,62,30,46,63,50,40
43,67,48,34,40,65,60,39
34,78,65,40,47,61,47,44
43,77,67,45,47,67,47,34
48,55,61,32,37,67,47,44
26,69,68,32,40,62,49,50
44,73,59,40,50,71,45,41
43,85,63,25,42,56,50,55
42,74,63,23,43,60,55,46
23,63,56,27,48,74,60,53
25,61,66,30,48,74,58,51
33,59,66,22,47,73,57,50
45,86,58,31,46,65,50,49
32,71,69,28,49,61,51,52
34,78,59,24,43,76,59,49
25,71,51,27,59,67,56,49
36,70,71,26,50,76,56,46
27,52,65,43,49,65,52,48
39,60,55,46,44,55,68,49
38,64,68,40,56,74,63,56
43,63,62,34,46,73,58,52
36,67,69,38,57,55,47,35
37,65,59,56,57,80,65,44
34,66,63,32,48,65,63,56
31,65,66,32,51,77,72,50
43,63,62,40,54,61,58,53
43,69,60,34,47,59,52,47
33,63,64,44,47,62,42,52
26,55,66,31,33,55,56,48
26,55,66,36,51,61,52,42
38,69,62,47,56,81,49,66
31,63,73,39,47,67,47,55
40,59,61,49,52,71,59,40
26,70,65,36,54,73,56,53
36,70,69,47,53,67,56,49
42,69,60,50,49,74,64,36
33,79,63,58,62,67,46,60
34,78,78,45,52,80,67,54
35,74,76,49,48,77,54,60
36,75,72,39,62,63,51,53
26,70,70,42,59,66,60,44
43,66,63,53,65,68,55,39
26,74,71,35,42,68,49,52
33,61,69,46,52,78,54,48
41,75,64,40,51,70,50,45
28,78,59,39,52,60,61,48
31,67,62,42,48,73,63,42
41,75,69,44,48,69,54,48
37,72,62,41,61,65,55,54
40,60,51,31,51,62,40,41
40,69,69,48,51,72,60,57
42,74,68,42,49,70,45,44
32,76,75,39,53,63,62,41
35,72,69,44,51,74,54,37
37,71,86,37,63,63,56,48
40,72,63,48,50,69,56,49
33,80,78,45,51,60,51,57
35,64,64,47,53,67,65,47
40,54,68,47,62,70,60,53
43,67,65,29,54,64,54,41
29,65,63,43,53,77,42,48
29,77,71,39,65,74,59,53
32,87,69,34,54,64,52,42
34,64,63,36,49,71,68,44
49,76,62,47,59,67,60,41
38,75,76,53,59,65,52,58
47,81,65,45,41,61,57,52
42,55,71,41,58,73,54,57
34,67,60,35,55,87,59,51
40,73,54,38,59,75,66,51
47,77,67,39,55,73,73,60
35,81,58,39,51,66,52,45
29,60,57,31,45,64,48,38
46,63,61,35,55,68,53,49
41,59,64,26,54,76,68,58
45,68,68,29,55,72,71,49
39,55,56,33,57,72,67,63
41,62,76,38,63,68,45,56
35,51,66,34,61,63,59,47
27,74,63,36,53,65,63,48
41,61,62,46,66,74,57,53
38,57,68,41,54,68,57,51
41,57,72,34,46,66,55,64
38,61,56,28,55,59,43,51
30,67,69,33,46,74,45,49
43,58,51,30,55,62,54,51
34,61,67,41,61,71,70,60
32,65,75,33,39,66,57,50
26,63,61,43,47,62,59,45
40,68,65,32,56,68,48,53
41,54,71,43,55,65,56,58
44,43,53,31,49,63,54,45
47,69,71,40,56,59,53,55
35,61,57,41,39,42,53,40
34,66,62,33,49,56,39,47
31,65,71,47,55,67,61,60
29,62,75,48,40,66,53,48
32,75,80,47,57,63,49,38
33,70,68,37,45,64,60,49
49,69,66,35,60,70,65,48
33,74,58,46,42,71,71,56
52,62,71,42,53,70,63,58
40,77,66,45,54,76,59,53
38,74,71,53,46,59,58,50
40,68,75,50,55,60,64,43
51,60,84,40,52,70,56,54
30,57,65,32,46,66,64,59
44,88,58,43,52,76,50,44
40,68,53,37,51,74,42,39
55,64,69,42,63,63,54,58
42,58,71,44,49,75,48,50
39,53,65,38,47,58,50,46
38,58,67,52,49,57,42,51
38,68,75,49,48,66,60,53
36,55,62,40,45,61,58,45
46,71,65,34,50,73,53,49
45,65,68,38,59,65,45,56
43,77,70,41,54,71,47,49
38,65,62,44,48,65,41,40
39,76,67,42,52,65,54,49
39,64,66,38,53,66,54,48
44,63,59,43,56,69,56,42
45,67,59,36,70,82,68,66
31,70,59,39,59,73,51,50
41,65,70,39,54,67,45,64
41,66,59,41,50,60,51,43
48,78,89,82,52,31,28,39
67,76,92,85,70,83,45,60
61,81,96,76,69,62,47,55
63,78,90,83,80,66,49,61
68,84,89,77,70,58,48,65
59,82,95,76,68,54,52,58
60,84,80,77,60,76,50,59
54,77,90,90,75,65,49,58
62,85,90,84,73,67,42,55
73,79,88,83,65,73,47,66
73,77,101,69,76,73,62,53
73,90,88,81,84,79,65,61
60,83,81,71,65,57,55,69
64,84,93,69,82,69,46,57
70,85,95,92,69,61,48,69
62,73,81,72,64,75,46,56
58,78,93,84,75,61,46,62
59,72,94,85,66,61,41,59
68,86,102,82,67,69,51,65
60,82,92,80,63,70,48,62
60,78,74,66,61,64,49,54
51,74,85,58,54,74,44,46
57,70,81,84,64,61,64,65
60,65,85,66,50,70,61,54
51,80,82,64,64,53,55,44
67,76,88,71,51,55,58,65
66,78,84,69,65,76,60,59
67,79,84,66,60,62,47,60
69,79,90,58,58,71,51,52
59,79,85,63,66,52,48,44
53,82,94,68,66,63,51,60
71,75,80,67,70,70,52,66
70,90,97,61,63,62,48,63
59,82,90,69,69,70,57,49
61,78,98,65,52,67,59,51
66,71,86,62,64,72,51,50
66,86,86,67,65,72,49,54
53,82,86,64,68,67,52,65
60,76,92,78,62,57,66,60
61,71,85,78,63,62,59,56
65,84,74,69,60,55,49,56
60,77,85,61,62,69,54,58
69,80,87,71,68,61,43,62
67,90,81,62,59,54,48,64
55,96,83,78,48,47,41,65
84,90,87,73,69,70,45,67
57,94,86,76,60,62,60,49
57,85,98,63,58,53,49,55
62,94,90,59,64,76,46,70
61,75,91,70,75,64,47,52
58,88,75,60,55,59,56,63
61,76,90,79,62,63,59,63
59,79,88,67,66,77,62,69
59,81,93,83,63,65,49,59
33,69,64,32,46,67,50,24
33,56,64,39,39,63,40,19
25,54,70,47,52,67,37,28
33,75,64,37,35,65,47,29
35,53,61,41,43,64,42,19
26,53,61,36,32,77,47,32
37,64,57,31,45,64,39,27
34,61,71,38,46,75,45,22
28,62,58,46,48,75,51,35
31,56,46,40,43,69,43,30
35,54,60,51,44,81,40,24
36,51,57,48,59,65,47,15
25,53,68,32,45,70,44,23
25,70,57,38,42,82,45,29
28,67,66,34,43,74,39,22
30,59,48,38,43,74,44,27
29,56,49,38,42,71,44,17
36,59,61,34,38,76,43,26
31,53,59,50,42,75,43,26
35,50,64,35,45,68,43,27
50,87,76,62,58,72,37,42
55,75,72,63,55,74,45,53
59,73,84,73,71,91,68,72
59,85,78,58,46,71,65,70
48,77,81,59,49,68,52,61
53,76,88,56,44,77,59,65
52,75,81,77,63,76,55,68
58,82,83,67,58,89,65,50
56,89,80,62,65,88,57,69
47,73,75,53,52,89,63,63
49,74,81,69,57,86,59,66
45,67,100,66,54,73,58,57
72,75,82,59,58,76,64,58
52,88,67,53,57,81,61,46
53,81,82,69,71,75,64,46
64,77,84,70,60,79,65,77
56,76,82,61,63,87,72,58
56,85,88,73,70,93,81,57
39,79,81,52,40,72,52,44
65,80,74,58,70,83,69,81
57,82,85,57,63,92,76,54
55,69,43,40,37,43,34,32
70,66,50,37,40,53,34,36
80,75,41,32,33,61,35,28
66,82,41,41,28,50,27,37
66,81,41,45,24,30,18,37
73,71,33,27,21,18,19,35
62,62,54,27,22,27,12,36
68,79,44,29,26,39,30,32
67,83,52,41,27,42,23,43
75,84,43,34,24,51,34,40
53,88,49,47,22,43,26,31
63,70,45,35,23,52,28,51
84,79,48,29,21,60,35,50
75,81,50,42,31,37,32,46
71,79,50,43,30,33,29,35
83,87,46,38,23,25,24,43
81,85,57,39,28,45,62,62
77,79,56,47,21,61,40,50
72,82,50,32,32,56,45,41
70,63,55,49,47,32,36,43
72,75,49,49,45,33,39,45
68,63,49,45,38,37,37,32
75,66,50,59,49,41,40,49
58,56,45,58,41,63,40,41
78,84,56,53,34,43,38,44
43,49,55,45,54,55,38,28
47,36,61,49,44,53,25,25
46,57,74,58,47,53,32,25
58,48,73,45,55,66,44,31
66,65,74,52,51,53,36,26
61,51,66,53,59,65,38,27
42,51,69,46,51,48,42,24
56,62,63,50,54,57,31,29
53,58,77,65,53,52,31,30
73,70,82,68,41,52,32,28
59,53,77,46,52,51,36,38
64,57,79,64,45,57,42,37
47,62,69,53,55,47,45,37
52,44,74,47,40,57,36,27
71,75,76,51,51,69,46,53
60,46,74,57,64,72,56,31
77,71,70,65,63,62,64,45
65,74,77,65,69,59,57,35
34,61,53,76,68,44,26,15
26,52,56,85,60,30,37,26
44,47,56,93,60,33,27,24
48,68,51,84,56,36,29,16
52,77,49,82,61,64,43,35
82,54,44,84,66,31,21,28
56,75,56,93,59,38,27,28
46,66,50,95,51,41,26,14
56,35,51,94,62,32,5,14
83,62,43,87,61,77,61,37
73,63,73,67,54,54,46,72
88,58,70,64,57,51,54,75
79,65,83,77,60,57,57,75
78,71,74,76,67,69,69,86
78,62,79,73,63,59,59,75
71,75,72,79,64,45,59,69
81,63,77,60,64,56,59,63
71,51,72,67,48,50,48,75
34,47,50,60,52,40,45,35
28,46,45,63,45,37,39,27
