electrode_1_average_amplitude_change,electrode_2_average_amplitude_change,electrode_3_average_amplitude_change,electrode_4_average_amplitude_change,electrode_5_average_amplitude_change,electrode_6_average_amplitude_change,electrode_7_average_amplitude_change,electrode_8_average_amplitude_change
0.016093840000000005,0.021927250000000013,0.06291706666666666,0.034062673333333314,0.013697996666666669,0.025052203333333346,0.08291702666666673,0.020260576666666676
0.020885573333333345,0.034271113333333325,0.06307344666666664,0.031927343333333316,0.016510573333333344,0.01937521000000001,0.07854198666666674,0.019323036666666675
0.020364706666666677,0.03906277,0.07380245666666672,0.042291973333333274,0.01593761333333334,0.023802276666666677,0.10145863000000002,0.01932301000000001
0.017864733333333344,0.02161471666666668,0.05697948333333333,0.044375193333333264,0.015468850000000004,0.021562660000000008,0.09005278333333336,0.018333506666666676
0.015052216666666679,0.030520939999999993,0.06463586666666668,0.045989959999999934,0.017239726666666677,0.021979333333333337,0.0481775633333333,0.016875126666666674
0.015260533333333343,0.016979306666666673,0.05812536999999997,0.03833358666666662,0.014895993333333343,0.017135536666666673,0.10005217666666676,0.018281376666666672
0.015729300000000005,0.01848970333333334,0.0427086133333333,0.03458354666666664,0.01500013333333334,0.02015636666666667,0.06364636333333336,0.020833516666666673
0.015000133333333334,0.018541843333333346,0.04932315666666661,0.035625213333333315,0.01640642000000001,0.026093870000000012,0.09864642000000004,0.01885428333333334
0.015520973333333347,0.015989690000000008,0.046510633333333294,0.03145848,0.013698036666666677,0.020208436666666676,0.0632817166666667,0.02083348000000001
0.01453141000000001,0.017708486666666676,0.04979201999999996,0.03317727333333331,0.012708446666666671,0.015416766666666675,0.0491149233333333,0.019271013333333347
0.013229306666666673,0.015156383333333343,0.04322942333333331,0.029427249999999988,0.01473969666666667,0.015260566666666676,0.05010438666666663,0.015937646666666676
0.015937640000000006,0.01432307333333334,0.05171901666666661,0.029166870000000008,0.011562593333333336,0.020312680000000003,0.08484425333333338,0.019166793333333338
0.015000126666666676,0.01406264000000001,0.043750266666666635,0.03093770666666666,0.013541803333333338,0.014427190000000003,0.059167000000000046,0.016458466666666675
0.017343903333333344,0.01713555000000001,0.04661494666666662,0.030729366666666664,0.014583453333333338,0.019010536666666668,0.057864750000000006,0.016718843333333337
