electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
16,26,57,25,40,41,3,0
12,23,47,27,23,28,0,1
11,23,56,21,29,26,0,1
2,19,68,19,19,25,2,0
6,28,60,31,25,31,1,1
19,34,81,31,30,29,1,1
10,20,62,24,27,27,1,0
7,15,57,21,25,25,0,0
13,13,57,23,41,36,5,1
15,29,90,45,41,34,1,1
8,32,83,52,23,24,3,1
10,24,69,40,30,26,1,1
11,23,74,38,26,25,0,0
14,29,80,31,25,22,4,1
14,29,82,38,40,38,4,1
13,34,78,36,29,32,0,0
17,39,69,36,29,26,3,1
5,34,31,14,13,1,0,1
7,32,26,16,4,0,0,1
1,19,17,7,13,0,0,0
0,15,2,2,4,0,0,0
7,30,23,12,7,0,0,0
0,13,12,3,8,0,0,0
5,22,38,18,7,1,0,0
6,12,20,12,21,1,0,0
2,18,16,10,11,1,0,0
1,11,15,8,7,0,0,0
1,20,10,5,7,0,0,0
0,13,22,4,9,1,0,0
1,14,15,3,9,1,0,0
0,40,1,1,4,0,0,0
1,21,2,2,5,1,0,0
1,16,7,2,7,2,1,1
2,11,5,3,9,1,0,0
1,10,17,8,4,0,0,0
0,3,1,4,6,1,0,1
2,43,19,8,5,3,1,1
2,25,18,6,10,0,0,2
0,10,13,4,5,0,0,0
1,12,6,7,10,1,0,0
2,15,14,5,6,0,0,0
2,17,7,4,0,0,0,0
0,7,4,4,11,0,0,1
1,7,16,7,9,2,0,0
3,4,10,8,6,0,0,0
4,7,9,3,5,0,0,0
2,0,11,12,9,0,0,0
1,4,13,8,7,0,0,0
2,11,12,6,5,0,0,1
2,4,0,1,8,0,0,0
2,1,11,4,3,0,0,0
3,4,4,4,11,0,0,0
2,3,12,5,7,0,0,0
0,0,16,15,7,1,0,0
11,4,9,4,8,0,0,0
0,1,15,8,7,0,0,0
0,8,3,1,9,1,1,0
3,19,4,0,5,0,0,0
3,16,11,5,11,1,0,0
3,11,12,5,9,4,0,0
4,8,4,4,26,11,1,0
3,10,2,1,12,5,0,0
0,6,2,5,10,0,0,0
3,3,8,7,13,1,0,1
1,18,0,1,9,2,0,1
2,17,4,7,10,3,0,0
0,0,3,5,10,3,0,0
9,0,0,2,11,0,0,1
3,0,2,4,17,2,0,0
5,7,3,7,16,1,0,2
0,2,1,10,22,1,0,0
4,13,4,8,18,3,0,1
6,4,9,7,26,5,0,0
4,4,1,9,13,6,0,1
1,8,8,5,14,2,0,0
3,7,5,3,7,0,0,2
10,10,2,5,13,0,0,0
5,9,7,8,18,2,0,1
10,9,10,13,18,3,0,2
11,6,18,12,21,2,1,0
8,7,3,7,11,4,0,0
5,4,2,10,23,2,0,3
10,8,3,2,15,4,0,0
1,9,4,7,9,0,0,2
3,8,10,13,19,3,1,4
3,1,2,4,11,1,0,0
7,4,2,6,12,2,0,0
7,2,3,5,13,0,0,0
0,2,7,3,18,2,0,0
10,3,8,2,17,2,0,0
13,15,4,4,23,6,1,6
12,15,7,3,9,1,0,1
5,5,1,3,11,0,0,0
9,9,4,2,20,1,0,1
11,15,6,6,13,0,0,1
5,10,1,5,26,5,1,1
0,11,2,2,10,1,0,0
7,22,12,11,29,3,0,6
6,5,4,5,19,5,0,3
2,10,6,5,20,5,0,1
3,25,7,6,13,4,0,1
1,16,5,2,13,2,1,2
4,5,2,2,12,0,0,2
5,9,3,8,14,2,0,2
9,9,6,8,15,4,0,1
4,5,3,6,16,3,0,2
10,19,4,4,14,2,0,0
2,23,6,3,12,1,0,0
10,22,2,6,10,0,0,0
1,2,74,33,0,0,0,0
2,3,60,33,3,0,0,0
54,83,90,32,23,36,38,32
43,80,85,44,21,20,0,8
13,75,75,30,23,20,3,0
19,66,83,33,24,22,8,4
27,83,107,41,25,21,7,4
20,54,94,43,19,17,0,1
50,77,62,28,13,16,7,6
30,81,86,40,29,24,6,4
19,71,67,39,21,21,6,2
37,55,96,36,27,24,4,1
19,53,88,36,9,14,3,0
16,44,74,32,21,25,5,1
30,46,60,37,30,28,5,2
17,58,89,20,22,24,5,1
23,58,59,23,23,27,5,1
32,88,78,30,11,19,0,2
63,76,61,36,21,21,5,7
60,81,72,32,23,22,3,3
45,73,65,23,34,28,8,1
32,98,62,31,40,40,10,3
19,58,81,30,26,24,5,0
17,41,86,32,24,26,4,3
12,47,68,22,28,25,7,0
4,23,70,26,19,8,0,1
3,21,59,23,16,18,0,0
8,22,61,28,34,33,6,2
4,30,61,34,30,31,6,0
10,46,60,22,18,25,0,1
10,44,61,26,22,16,3,1
7,43,61,39,27,26,6,0
7,33,57,31,26,24,2,0
17,45,55,27,20,21,3,4
7,46,72,26,17,10,2,1
16,53,77,38,18,21,4,2
11,44,76,43,28,25,2,3
17,56,85,47,39,34,9,3
15,46,90,49,27,28,5,3
12,19,65,34,24,21,9,3
11,26,67,25,17,15,3,0
11,34,77,37,21,22,0,0
12,36,61,36,20,24,6,1
13,40,62,29,25,24,5,3
15,29,75,41,21,25,5,1
10,30,68,37,28,30,15,10
13,52,75,27,24,27,4,0
17,45,75,38,34,36,5,2
9,54,76,31,19,23,2,2
6,33,47,28,23,23,2,2
6,30,67,27,26,28,7,1
13,30,75,32,29,29,6,0
5,10,68,49,26,28,2,0
11,34,64,23,23,24,5,1
12,32,66,45,24,31,4,3
9,28,75,37,24,24,3,2
10,42,80,35,24,22,3,4
18,51,75,39,19,22,2,2
23,26,61,32,23,21,2,2
4,47,66,33,27,31,4,0
3,39,68,40,64,35,2,0
2,21,68,30,16,14,2,0
2,30,50,22,6,13,2,0
6,24,66,29,23,23,2,2
2,35,75,26,22,21,1,0
2,26,64,19,14,14,0,1
0,32,62,19,1,2,0,0
11,30,59,25,16,15,3,3
11,51,58,25,34,34,4,4
0,14,65,35,15,15,7,0
18,33,52,33,12,17,1,1
17,36,74,35,16,21,2,2
12,29,61,29,17,17,3,2
18,22,59,32,21,19,5,4
17,29,60,35,17,12,0,1
22,34,68,40,22,28,5,0
19,22,68,28,25,25,1,3
20,35,66,29,30,28,5,3
19,34,59,29,22,20,2,2
20,29,71,31,15,13,0,2
11,26,55,26,18,20,5,1
22,43,71,37,26,28,4,2
31,43,67,35,31,32,5,1
33,44,81,28,16,18,0,4
51,58,80,42,25,22,4,4
24,35,52,33,21,28,5,1
8,33,67,31,10,16,0,0
8,27,68,34,18,16,4,2
12,37,71,33,23,21,6,4
13,38,74,42,34,34,8,5
21,43,63,33,19,21,4,0
14,34,78,39,33,35,11,3
12,36,61,36,22,25,4,3
16,33,67,26,33,34,7,4
15,41,75,27,33,32,11,4
13,38,78,31,22,20,5,2
21,26,63,34,28,26,9,5
18,52,75,25,24,20,3,4
17,49,66,29,20,17,4,2
16,40,64,33,24,21,4,2
21,33,65,47,19,28,3,2
5,24,75,28,18,20,1,0
9,33,81,44,26,23,9,2
16,32,79,32,30,32,9,4
14,33,45,17,30,34,7,2
13,24,49,16,31,42,6,3
12,23,46,11,42,43,16,3
13,30,56,19,34,43,13,3
4,27,39,20,34,41,7,1
5,21,44,14,28,36,7,4
11,19,55,10,31,32,4,7
3,20,45,12,28,38,6,5
4,18,45,18,34,49,10,3
9,18,54,13,43,45,10,2
18,18,45,15,41,51,15,7
4,17,48,7,22,37,5,1
6,10,41,13,32,39,7,2
3,10,45,10,25,24,5,1
8,16,65,10,38,48,10,5
5,14,48,4,24,32,2,4
5,15,57,9,23,27,7,3
3,14,48,4,18,25,0,1
4,15,58,8,21,28,1,1
1,4,46,5,21,23,5,2
2,2,60,1,17,23,2,0
3,6,62,4,15,29,5,3
2,13,65,8,25,32,5,4
0,14,47,4,24,32,4,3
6,14,60,9,25,28,3,6
5,11,68,12,29,33,8,3
6,19,74,10,24,37,9,6
10,24,51,8,32,40,6,4
4,22,64,16,32,38,8,3
1,10,59,5,16,26,5,3
5,22,59,5,24,29,6,3
1,7,57,4,22,30,5,4
7,13,64,12,35,43,8,3
5,20,54,4,21,27,7,7
13,24,60,10,34,28,10,8
4,16,61,8,29,38,9,5
5,22,61,13,35,40,8,5
3,11,58,4,22,29,6,0
1,17,67,10,27,36,5,3
5,12,68,11,20,28,5,1
6,18,58,12,29,31,5,7
1,11,61,7,19,34,4,5
0,1,59,1,12,21,2,3
2,16,48,9,27,32,6,3
4,15,67,8,26,37,7,4
1,20,55,6,19,27,4,3
0,2,60,3,18,22,0,4
3,9,58,0,11,19,1,3
1,12,55,1,18,22,3,8
6,26,56,6,25,38,14,4
16,17,72,13,29,38,14,8
8,16,61,4,20,26,8,4
9,27,64,14,27,27,8,7
3,16,63,7,24,32,9,3
5,18,75,11,28,37,11,5
3,8,60,10,26,40,13,8
4,16,62,8,36,44,9,5
5,8,60,8,18,34,7,8
0,2,62,1,4,16,2,5
5,18,67,11,31,38,6,5
4,21,69,8,33,48,6,6
11,33,66,7,29,40,5,4
8,26,60,4,25,31,7,7
17,37,74,14,36,52,14,7
18,29,65,8,33,41,10,10
10,26,63,13,34,40,9,7
10,36,63,10,27,45,13,13
11,35,66,12,37,42,12,11
7,36,67,10,25,32,7,7
12,28,64,10,33,42,7,6
11,29,76,11,34,37,10,11
3,7,72,4,11,20,3,7
5,21,79,8,27,41,5,5
10,27,71,9,18,29,5,11
11,26,71,11,35,41,13,8
3,14,71,13,31,41,11,5
9,15,67,10,26,38,10,6
7,32,70,11,31,43,13,9
6,19,66,7,22,39,4,7
18,37,65,10,31,46,8,12
18,28,74,7,20,31,5,8
13,30,79,20,43,48,13,12
13,31,68,13,32,41,11,9
12,22,75,15,34,49,13,8
4,23,75,8,20,38,8,9
2,12,68,11,24,35,7,8
13,27,79,9,31,40,9,11
9,24,72,14,36,43,14,7
9,27,64,10,24,34,7,5
7,17,64,8,28,43,10,8
6,20,72,4,21,31,9,6
8,10,63,12,24,32,7,7
0,6,68,1,11,18,4,7
11,27,71,15,35,38,9,9
8,20,69,8,26,28,4,4
8,29,69,14,26,28,11,8
5,15,65,13,25,36,7,4
11,19,72,16,31,38,10,7
6,18,73,12,24,33,5,5
7,22,66,11,21,30,4,3
4,15,78,9,27,23,3,3
1,12,56,6,19,21,6,2
5,27,56,10,17,24,9,4
10,13,70,9,21,28,6,7
10,27,73,4,21,27,13,3
4,18,83,6,25,29,4,3
