electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
22,81,45,15,7,43,84,28
21,69,58,17,4,45,108,20
15,70,30,11,5,48,93,31
20,77,44,19,5,52,92,17
17,81,31,14,5,37,89,18
12,64,36,14,1,54,92,31
17,59,50,21,1,54,110,31
27,73,49,19,9,45,95,22
20,72,38,17,2,46,98,24
17,83,29,16,8,57,103,37
31,75,63,9,5,54,98,25
23,79,48,19,1,60,103,34
14,88,43,11,0,41,101,22
9,62,46,21,6,53,93,26
36,80,52,11,5,65,111,38
11,60,30,9,6,54,99,29
23,62,33,8,6,55,103,32
27,94,57,9,5,45,104,18
20,67,34,15,8,48,98,26
19,67,25,8,8,48,83,27
27,75,53,15,7,46,73,27
18,69,35,6,3,42,87,27
25,63,45,6,7,53,92,29
32,91,53,10,4,50,105,33
23,76,33,9,6,56,83,22
23,82,38,9,8,49,77,32
28,70,42,19,8,52,99,34
16,82,36,6,4,60,120,28
18,57,40,16,4,53,103,34
24,65,40,6,1,50,103,26
20,68,52,16,3,58,105,30
26,70,36,10,5,51,96,25
24,67,56,9,5,53,111,26
19,77,48,11,2,59,104,32
22,71,49,7,11,43,100,26
25,58,44,5,0,47,101,29
18,73,49,6,3,60,106,27
32,70,37,7,2,50,94,32
16,72,55,8,2,48,97,31
26,83,34,8,5,60,112,27
20,81,55,14,1,53,134,34
22,82,54,5,6,68,120,35
31,81,44,14,9,68,106,32
31,68,35,5,2,53,108,30
25,84,42,7,9,60,105,31
30,71,49,6,3,43,100,15
21,85,59,2,2,58,111,25
22,70,56,20,3,51,109,25
24,89,36,8,5,75,123,41
15,80,57,21,6,65,111,38
17,67,43,11,0,50,110,28
21,75,52,25,6,58,110,32
22,69,49,10,7,51,111,30
15,72,46,16,3,60,116,26
30,93,60,6,3,59,106,33
24,76,52,11,6,64,125,33
30,89,54,34,6,48,110,35
25,77,60,33,6,54,111,31
30,66,55,7,0,58,93,38
17,72,58,16,3,62,117,25
22,96,63,21,9,51,112,33
30,87,62,29,4,55,119,32
21,86,64,35,4,68,118,31
28,91,64,31,5,69,107,40
42,105,59,26,3,74,124,50
21,77,57,26,7,65,116,27
5,57,48,24,6,53,121,28
22,91,63,29,6,59,108,21
24,74,60,29,4,63,97,29
31,87,67,24,4,58,122,28
22,79,71,25,3,49,114,30
21,80,56,23,5,55,100,30
20,87,58,29,4,54,105,34
17,89,51,11,2,55,102,22
23,74,54,17,2,57,124,17
36,85,63,14,4,50,103,34
14,94,57,36,6,67,118,29
27,97,64,18,3,46,111,27
25,69,61,21,4,58,106,30
28,69,49,28,10,61,119,36
21,105,54,25,7,63,118,28
23,84,55,21,7,61,108,27
23,95,82,36,3,49,111,21
16,74,37,17,2,49,123,28
20,63,41,20,6,61,91,27
19,86,40,20,4,54,105,38
24,83,46,25,7,72,123,23
15,69,42,19,2,53,105,27
26,91,62,11,10,62,131,41
32,98,60,22,9,60,127,31
27,78,58,24,5,58,105,32
30,84,59,15,4,54,111,32
19,88,58,23,1,55,134,25
