electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
70,107,124,53,7,62,55,69
65,113,130,38,10,60,64,82
69,108,124,36,10,55,59,78
74,104,115,55,6,36,64,94
72,131,128,63,12,48,64,88
74,111,121,60,17,82,84,95
84,119,137,63,12,62,73,76
77,105,132,46,6,44,62,73
82,122,122,62,11,52,64,67
73,108,123,47,9,56,59,89
77,118,131,65,10,51,67,73
104,88,123,83,21,49,66,110
89,99,116,19,7,62,70,106
96,94,118,27,20,69,68,105
102,103,107,39,31,65,80,98
110,103,121,57,15,39,73,120
97,97,106,29,15,47,62,87
94,103,111,33,9,49,61,93
88,105,105,30,18,71,65,100
92,106,123,40,11,63,68,94
94,95,118,47,25,93,63,113
105,108,116,47,15,40,55,103
101,109,108,42,19,86,69,111
98,108,116,39,15,62,95,95
102,83,114,41,17,73,88,126
100,115,120,32,12,59,81,97
98,102,113,37,19,54,59,83
106,112,117,43,19,67,74,107
50,74,127,67,7,51,73,81
60,80,130,77,17,42,85,79
29,84,126,56,15,36,61,75
30,86,132,59,9,25,68,85
29,90,135,56,6,40,89,83
49,83,131,55,19,13,48,64
46,80,128,59,7,22,51,90
39,80,127,70,13,16,50,73
16,68,140,79,19,22,64,74
31,75,135,65,15,28,60,76
36,84,124,64,15,33,61,75
27,80,133,73,13,28,66,84
36,96,132,58,5,12,33,82
24,69,136,70,10,19,45,87
24,71,127,53,6,49,53,85
69,81,125,65,22,59,98,100
59,92,122,63,15,52,77,99
36,68,132,50,16,48,61,96
26,67,126,59,10,43,59,82
41,70,110,59,11,55,63,76
