electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
2,20,36,3,0,10,89,18
2,26,50,16,0,20,78,20
2,12,30,7,1,22,70,23
4,28,31,6,0,14,63,20
5,41,44,7,0,16,83,20
3,32,36,15,0,15,73,24
0,27,38,11,0,16,79,21
7,42,45,5,1,12,80,17
0,22,45,14,0,18,82,18
1,21,44,15,0,7,82,13
4,38,28,12,2,14,64,16
12,60,31,7,3,24,67,22
4,37,41,7,1,13,65,15
2,19,38,11,6,19,62,19
1,16,47,8,1,14,67,18
4,36,52,13,3,16,76,17
2,16,59,11,4,13,73,24
0,36,49,23,2,7,74,13
15,66,77,33,4,24,52,34
11,59,56,35,2,21,81,15
3,31,53,26,5,8,57,18
8,44,71,28,3,13,60,18
8,48,64,15,2,14,54,18
9,56,57,18,1,17,60,14
2,44,62,35,2,14,56,12
8,76,70,23,1,13,60,9
6,36,58,19,0,9,57,14
5,43,66,28,0,14,56,16
0,43,64,16,2,8,43,9
6,47,55,23,0,17,64,15
16,68,60,28,1,16,67,14
9,53,60,17,0,12,70,11
16,68,72,16,4,15,54,16
1,22,63,27,1,6,74,18
1,53,61,14,0,14,65,17
3,56,62,20,0,15,58,16
23,58,33,16,11,30,40,12
17,48,29,13,7,34,43,12
8,16,21,6,2,26,37,10
16,25,11,3,1,18,35,8
14,18,5,1,2,13,28,2
15,27,4,4,4,14,31,6
25,97,27,7,12,31,48,17
13,35,30,12,6,22,42,9
14,2,20,11,2,24,29,9
18,19,23,16,6,25,34,12
7,2,1,2,1,27,36,6
5,1,4,3,1,13,31,0
10,19,19,6,1,24,36,8
15,3,32,15,6,29,44,14
7,13,18,7,1,23,28,6
10,8,11,3,3,24,33,7
13,13,26,10,8,32,34,11
11,31,13,4,3,33,43,9
15,41,13,4,4,27,36,9
9,13,12,3,0,20,32,5
5,29,12,5,2,24,37,11
9,56,29,7,5,24,36,7
16,45,6,5,6,31,34,8
9,34,25,17,6,33,40,5
9,41,11,3,5,28,31,14
6,37,2,2,1,19,27,6
10,40,3,4,3,19,34,4
13,50,4,2,4,21,38,7
8,17,0,1,0,19,30,3
11,42,2,1,2,21,31,6
11,61,1,4,0,16,32,2
13,50,5,0,0,17,25,5
10,28,2,3,1,18,32,4
13,40,3,1,4,22,30,7
10,43,4,6,7,27,36,12
13,51,14,4,5,24,39,9
14,55,25,3,5,23,31,9
15,38,10,9,4,23,32,7
6,19,4,3,2,14,29,7
5,16,0,0,2,34,32,5
5,14,4,3,1,36,42,13
8,15,0,2,3,27,36,6
6,36,5,4,5,33,40,14
7,18,23,11,5,22,18,5
7,28,7,5,6,20,30,9
5,15,0,0,1,20,36,6
7,16,0,0,0,10,27,1
6,35,4,0,2,29,38,10
7,39,7,2,5,23,38,12
11,17,1,0,1,28,37,7
5,20,1,0,1,30,36,7
9,12,6,7,8,19,39,10
10,19,0,1,2,17,36,3
8,9,1,1,2,21,29,4
7,5,0,0,0,21,40,6
10,1,0,0,2,21,33,7
12,6,0,0,0,31,43,9
9,17,2,2,3,34,41,13
7,6,3,3,3,27,28,11
9,0,3,2,5,23,34,4
11,2,2,2,0,27,32,4
8,13,5,1,5,28,32,17
11,54,40,17,6,35,60,15
7,3,24,14,5,28,47,11
2,0,15,3,4,22,37,4
1,8,19,5,3,23,36,4
3,2,21,8,0,21,30,6
5,4,4,0,0,30,38,5
1,0,4,0,3,18,34,2
2,4,2,3,2,20,36,6
0,0,0,0,0,6,19,0
4,1,1,2,1,15,32,3
2,0,1,2,2,18,37,5
0,1,1,2,1,12,35,3
3,0,5,5,1,18,39,3
4,0,10,2,0,15,36,4
2,1,12,2,0,15,37,0
2,1,4,5,2,17,35,1
0,2,2,3,1,14,29,8
2,0,16,1,1,16,34,5
2,1,7,1,0,18,39,5
5,1,2,2,0,26,44,7
1,2,3,4,1,22,41,4
4,3,4,1,1,24,36,3
6,1,11,3,2,18,30,2
3,3,4,3,2,21,43,4
1,0,6,4,0,21,37,6
1,1,3,5,1,15,49,2
5,1,1,1,2,24,28,5
4,2,2,2,2,27,43,6
3,2,0,2,2,29,40,5
1,1,0,2,0,27,46,4
7,5,3,2,3,22,52,11
1,3,3,0,1,20,40,9
2,2,2,3,0,20,41,7
1,2,0,1,1,20,29,2
6,1,22,16,3,29,44,6
4,2,14,6,3,29,45,3
0,2,0,0,1,16,36,2
3,0,7,1,0,19,43,7
3,3,2,1,3,28,37,4
1,2,0,0,0,22,48,2
4,1,0,0,0,34,41,6
0,0,0,0,0,11,25,2
2,3,50,12,0,1,1,0
19,45,70,32,22,32,36,29
5,39,71,26,8,22,36,15
8,23,72,21,6,32,49,17
3,16,72,29,1,12,45,14
2,23,63,34,1,14,40,14
7,44,61,26,1,27,51,11
4,28,63,21,1,18,56,12
4,28,75,29,1,18,60,10
5,30,64,37,2,18,48,6
5,17,65,30,3,19,56,15
5,48,69,22,1,21,54,12
4,30,69,21,5,11,47,15
5,33,72,35,0,14,54,8
3,38,58,22,2,16,56,13
5,52,65,30,1,19,55,21
4,42,51,15,2,11,47,12
3,45,65,25,4,20,57,11
2,50,67,17,2,10,50,10
5,32,74,18,4,20,47,9
5,27,72,16,0,17,54,11
4,43,68,20,0,21,45,12
8,48,78,24,6,15,45,8
4,36,68,24,3,17,46,8
2,25,72,21,1,7,48,10
4,35,76,32,2,17,47,7
4,34,58,17,2,18,42,8
7,42,70,19,1,15,44,11
1,24,69,23,4,12,49,13
6,24,67,22,0,15,53,9
4,24,65,19,1,11,43,12
3,19,56,12,0,8,49,9
2,27,62,24,4,15,56,14
3,27,55,12,2,17,52,16
2,18,67,19,0,16,51,13
2,13,57,19,2,16,43,10
4,25,67,18,3,7,44,8
6,59,68,20,2,30,68,18
5,28,71,22,0,9,51,6
6,35,71,32,4,11,56,15
6,27,71,16,0,14,67,7
5,31,63,13,1,11,55,6
7,12,54,19,5,13,56,11
1,23,67,20,0,19,56,15
8,24,63,17,1,14,67,8
3,28,70,16,0,20,60,11
5,48,54,20,2,12,57,11
8,60,80,25,0,17,58,10
3,34,83,40,2,20,61,11
10,11,98,39,4,24,54,9
8,30,86,30,0,19,55,8
2,18,79,27,1,14,48,8
2,35,77,24,1,15,58,6
2,38,73,18,0,19,51,8
6,35,67,18,3,19,57,13
3,27,65,20,2,26,65,11
2,21,72,21,2,22,64,11
1,22,81,21,3,18,49,18
3,42,92,23,0,18,54,9
5,23,69,11,0,16,53,13
5,39,74,24,1,19,54,10
2,40,68,15,2,22,55,16
4,25,69,14,1,23,49,10
4,29,80,21,3,21,52,11
3,20,74,24,0,20,59,8
4,34,100,19,0,17,61,12
1,27,79,18,0,18,61,8
7,45,92,15,3,20,64,13
6,29,82,25,0,20,52,14
4,24,79,29,0,12,55,13
3,21,66,19,0,17,58,8
5,36,86,19,1,11,58,4
6,31,75,24,1,20,77,13
3,8,80,20,0,27,59,15
5,15,84,20,3,23,80,14
3,9,78,19,1,21,87,8
0,33,88,27,1,29,65,18
4,23,68,17,0,22,58,18
3,23,78,23,0,25,65,17
3,27,85,24,2,15,57,14
1,15,84,23,0,23,54,14
5,35,79,20,2,17,47,8
2,38,79,25,1,13,46,11
3,24,88,16,1,21,52,12
7,32,77,18,1,23,62,17
4,46,78,16,4,15,53,14
4,27,84,11,1,21,29,12
1,40,90,22,0,27,63,12
6,42,78,15,0,14,48,11
2,42,84,21,4,21,40,8
3,52,71,14,0,13,63,16
7,36,75,15,2,16,52,17
8,16,76,12,3,23,46,17
5,39,77,9,2,17,50,15
9,44,81,13,3,19,43,15
7,35,91,23,0,16,45,8
8,27,79,22,2,21,60,16
4,47,76,14,2,19,55,16
8,40,88,17,3,19,58,13
6,34,78,19,2,18,45,9
2,30,73,16,0,11,43,6
5,27,70,12,2,23,46,12
7,46,76,21,3,16,45,8
4,32,71,13,0,23,46,5
7,37,69,25,3,15,54,16
4,33,86,9,1,15,48,9
7,48,93,24,2,23,59,16
2,45,91,19,0,16,67,14
5,48,83,24,1,16,59,12
1,40,71,16,0,20,60,11
1,52,75,23,1,25,61,15
6,22,78,14,0,21,52,15
3,35,85,16,0,21,57,7
20,25,53,15,13,38,62,25
10,27,61,11,5,32,53,31
6,12,51,7,7,26,75,24
14,13,53,14,13,37,64,33
6,7,61,13,9,41,86,33
18,23,69,18,17,33,60,22
2,11,59,10,5,18,54,25
6,9,58,4,4,33,61,34
12,13,56,11,7,24,71,28
15,24,49,13,7,32,54,30
10,16,54,3,1,34,66,27
6,19,52,11,10,38,78,30
12,15,68,9,11,35,77,27
12,15,66,8,5,43,72,32
10,30,63,8,4,37,62,34
5,19,61,22,8,38,71,28
1,7,48,0,1,22,54,17
18,32,61,15,8,34,65,31
9,25,48,12,8,16,82,24
5,39,58,6,5,30,91,32
16,47,67,14,10,24,68,19
14,19,50,17,10,31,76,29
6,11,52,14,2,34,73,37
6,8,58,13,5,35,77,31
11,16,75,14,5,40,77,35
7,20,59,6,4,26,83,26
7,13,75,10,3,33,77,35
9,29,76,10,9,42,83,35
17,23,80,22,11,31,75,20
8,10,82,12,3,39,79,27
21,19,73,7,12,37,72,38
8,14,72,13,5,30,78,28
16,42,73,14,14,44,89,35
5,14,81,11,6,29,88,38
5,25,66,11,3,33,97,30
15,36,82,13,1,36,83,34
11,17,77,9,1,38,89,33
9,45,62,13,12,40,91,42
9,32,56,15,4,38,82,32
6,27,77,13,5,34,84,31
4,48,80,13,4,53,82,39
4,39,76,10,2,36,78,20
7,30,74,14,5,47,89,39
3,32,60,12,1,37,102,31
4,30,65,11,4,35,117,43
4,17,70,13,3,38,85,37
4,24,78,14,2,39,75,27
11,46,61,16,8,49,98,36
13,37,73,18,8,33,79,25
8,24,70,13,7,34,90,32
8,38,78,18,11,31,71,28
11,60,87,19,8,49,100,52
23,70,73,15,15,50,87,53
18,75,76,19,9,63,98,53
24,86,84,18,8,56,90,41
27,74,86,13,12,40,91,39
22,78,76,22,3,33,75,26
20,76,62,17,8,39,85,34
16,75,81,20,9,42,85,40
19,65,76,13,5,41,84,25
10,49,69,16,9,28,83,39
16,53,85,24,12,33,89,32
21,82,75,18,9,34,79,39
18,59,72,21,8,43,101,40
13,60,56,15,5,22,80,26
16,70,77,21,3,42,82,31
16,66,60,15,7,31,100,38
13,60,60,10,3,41,92,30
12,62,65,15,9,37,82,33
19,66,62,14,5,36,78,31
23,70,74,17,5,39,76,24
23,102,88,22,5,33,92,34
20,73,79,24,10,38,70,32
19,73,65,13,7,35,67,31
15,71,75,13,7,34,79,35
10,83,74,22,6,41,101,37
17,76,73,22,6,43,72,28
3,29,75,23,4,36,71,25
7,21,70,15,1,40,95,31
9,31,71,19,4,48,94,28
6,35,61,8,5,42,77,34
5,19,76,17,4,25,99,27
6,25,58,15,4,49,88,28
10,21,63,20,10,36,96,26
8,26,74,12,4,27,93,28
7,42,78,19,7,34,85,29
0,7,71,15,3,37,91,25
7,15,70,14,5,30,90,27
6,27,69,14,9,41,94,42
4,34,68,8,1,33,101,19
5,35,55,7,4,34,95,29
4,35,65,9,4,37,89,34
4,40,64,15,5,33,93,28
5,27,71,16,4,39,91,35
2,20,55,15,3,39,98,39
2,34,53,8,0,46,109,36
6,19,72,12,4,49,104,40
6,26,82,17,7,40,113,36
3,23,60,18,4,31,104,28
2,21,57,4,2,28,91,23
5,16,69,19,3,52,90,33
7,22,52,6,1,44,100,39
7,13,62,18,3,49,98,30
4,25,71,11,5,44,94,40
11,58,77,22,8,49,112,38
4,27,69,11,9,41,104,41
9,34,72,15,8,42,110,37
7,29,67,15,4,29,91,29
5,33,84,16,7,32,76,20
13,27,66,15,5,46,88,34
5,27,59,19,6,47,88,44
6,63,69,15,2,33,95,30
25,106,129,77,4,0,4,0
66,114,130,100,27,16,47,42
87,111,136,108,26,22,39,51
80,115,140,106,37,24,62,51
86,122,132,117,38,28,59,54
88,116,128,110,46,32,46,43
80,125,130,103,31,22,57,57
74,108,124,108,33,28,61,45
88,123,133,114,42,35,60,47
87,116,136,120,54,34,63,57
92,120,132,114,54,25,53,50
96,105,135,97,33,10,34,52
96,119,135,112,39,23,47,49
93,120,130,112,38,24,52,44
112,130,132,136,60,50,65,71
94,120,136,129,63,34,67,59
87,113,138,123,62,39,47,55
84,117,136,119,42,48,69,53
96,122,142,126,54,55,89,56
88,120,137,121,51,32,59,40
93,126,138,120,37,27,68,43
89,125,140,105,34,30,58,44
98,117,140,108,41,30,63,55
92,123,136,117,59,61,93,59
89,112,140,120,42,25,48,45
96,124,138,120,50,21,42,44
92,130,143,124,40,33,81,53
104,123,142,126,67,33,61,65
94,124,141,106,42,32,55,49
90,123,138,123,57,33,52,48
81,128,135,120,32,27,67,39
86,120,128,119,34,26,62,44
85,128,137,120,54,26,44,47
98,101,130,118,53,39,48,40
88,125,132,114,53,24,47,48
110,119,140,113,46,25,50,63
102,125,138,115,36,21,41,58
108,129,144,126,65,30,58,54
89,130,138,117,33,32,65,52
96,122,134,122,33,16,54,31
88,116,143,114,51,29,61,40
92,127,138,115,50,29,54,55
94,127,136,115,59,37,67,51
94,118,136,103,45,30,48,51
88,117,140,125,53,33,59,52
102,127,138,121,47,30,55,53
85,109,139,126,56,21,34,34
85,114,143,117,46,29,59,49
82,124,142,117,48,32,48,46
93,124,141,130,68,38,58,57
90,118,129,116,70,48,69,52
95,131,134,116,44,34,69,57
91,122,136,120,54,30,58,34
82,113,137,114,54,32,64,54
36,115,117,110,40,9,2,6
30,59,58,16,18,49,42,25
2,14,26,1,4,26,41,19
15,8,27,7,13,30,32,19
2,2,24,4,3,21,32,9
5,10,28,2,3,32,38,14
