electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
21,70,7,2,11,30,20,16
27,49,5,7,8,25,14,10
25,7,1,3,8,21,17,12
24,21,6,2,10,32,18,14
10,8,1,2,8,32,17,10
17,10,6,7,7,27,13,12
16,32,6,3,4,24,15,8
30,21,8,2,10,23,14,11
14,9,0,0,2,30,18,13
13,24,4,3,7,18,11,8
7,12,5,3,5,27,11,6
14,9,4,0,4,31,15,11
26,9,2,2,4,28,13,11
14,5,2,5,5,18,10,7
19,9,5,3,5,34,18,11
27,2,3,5,6,32,17,13
19,9,7,8,10,32,20,15
13,4,3,4,6,28,12,8
9,2,1,1,7,30,20,9
18,6,2,2,4,23,9,7
26,13,7,8,12,27,20,13
18,11,7,3,3,24,13,10
10,4,1,1,3,21,12,5
8,5,6,2,4,31,16,8
24,10,8,9,13,26,15,15
17,13,2,0,3,21,14,6
30,13,6,4,9,29,13,11
14,2,3,4,6,25,12,7
16,5,2,2,3,21,14,9
4,1,0,0,2,18,6,2
28,4,3,0,3,28,14,8
22,8,3,2,5,30,15,9
8,3,0,0,2,24,10,6
17,4,0,1,0,22,10,6
21,6,3,2,4,22,7,9
26,0,0,0,1,21,16,8
11,0,1,2,3,25,15,11
10,10,2,0,1,23,8,3
23,2,0,0,0,22,10,4
32,12,4,4,5,22,14,11
13,3,1,0,2,23,10,6
19,6,2,0,3,18,13,7
31,5,4,2,3,18,7,8
9,7,3,5,9,29,17,15
24,7,0,2,4,21,13,5
19,3,0,0,2,26,11,5
20,6,3,1,4,30,13,4
29,9,7,3,4,27,19,21
20,18,5,3,6,21,21,15
22,24,2,0,2,29,34,13
22,90,7,0,0,1,12,0
30,6,9,7,11,39,22,19
27,8,10,13,16,30,22,22
11,3,6,3,10,38,18,13
13,8,5,4,8,23,12,9
3,1,4,1,1,20,3,1
2,2,1,1,0,30,10,4
10,5,0,2,4,31,16,15
4,8,0,3,3,23,12,8
7,4,5,2,5,32,14,14
8,6,3,7,7,31,11,9
3,4,3,4,7,27,10,8
5,1,0,0,2,23,9,6
5,2,7,4,8,22,15,8
8,2,2,3,11,37,17,15
8,3,0,2,3,31,15,14
6,1,0,0,7,20,10,6
7,0,1,2,4,23,14,12
18,3,1,7,8,24,13,18
4,3,1,1,4,17,13,7
6,5,4,5,5,17,9,6
5,0,1,3,3,26,12,7
5,2,3,2,10,22,5,6
6,5,5,2,3,14,11,9
5,6,1,1,3,35,7,6
10,6,5,6,12,22,14,7
2,0,1,0,2,19,7,2
4,4,4,1,3,18,4,4
2,4,1,2,5,16,6,4
5,8,6,3,2,18,9,8
2,5,4,3,5,16,5,2
0,4,3,1,0,17,4,1
6,6,5,4,11,22,11,8
4,2,2,2,4,20,8,8
2,7,1,0,2,18,4,0
13,6,2,0,4,15,8,5
8,3,2,0,3,16,8,8
13,5,2,0,2,17,6,6
8,5,5,3,5,18,13,10
1,1,1,1,3,23,8,4
2,5,2,0,2,19,9,6
8,1,1,3,4,20,10,6
1,0,1,1,2,17,5,0
4,2,3,1,2,21,13,6
0,2,0,0,2,15,6,3
