electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
6,46,66,25,13,36,25,1
16,49,71,18,17,42,31,3
8,68,83,17,8,32,28,2
38,79,75,42,18,34,26,1
3,63,79,20,7,26,16,0
12,59,67,29,9,32,19,3
5,49,63,27,16,31,19,3
7,55,66,12,6,27,30,1
5,43,68,13,5,26,27,0
7,55,58,25,12,30,30,6
8,56,46,12,10,32,30,0
17,25,11,5,19,25,10,14
9,33,4,6,16,38,11,10
16,34,6,8,26,24,12,14
9,36,8,6,20,41,13,6
12,30,6,4,20,30,10,10
1,11,1,2,10,28,2,0
12,24,11,7,14,28,7,6
2,26,4,0,13,33,7,1
15,45,20,8,19,23,8,10
9,39,6,5,13,32,8,3
13,40,6,3,19,25,11,9
13,47,19,8,14,30,16,9
9,36,10,0,9,25,7,4
12,58,24,7,23,34,16,7
8,35,7,6,18,37,12,8
6,40,6,3,15,35,7,5
7,32,4,1,14,34,14,5
5,44,12,4,22,26,14,7
4,35,9,2,16,34,8,11
16,46,19,8,20,27,8,8
15,64,21,9,22,41,12,10
23,98,20,5,24,47,16,15
21,101,32,12,25,32,17,11
19,100,20,6,24,41,15,9
27,65,38,8,22,34,11,8
14,51,21,5,16,31,15,6
17,46,37,7,26,42,13,11
6,38,15,1,12,24,7,4
16,51,36,7,12,31,17,8
19,48,30,4,13,33,12,6
6,39,18,2,17,28,4,5
6,43,25,0,6,24,6,1
4,41,24,1,15,23,9,7
2,31,14,1,10,24,10,2
7,49,41,3,14,34,24,8
10,44,39,5,20,46,19,7
10,56,34,14,32,53,25,23
13,37,13,6,19,32,15,15
7,46,17,5,19,37,20,22
20,49,21,5,28,43,24,20
9,35,5,8,29,45,17,18
6,49,14,4,27,39,16,9
13,38,17,2,25,46,20,14
7,40,10,7,20,37,16,16
7,38,11,7,22,26,16,7
10,33,12,5,15,37,6,7
11,53,9,2,24,35,24,13
15,45,11,11,28,38,27,18
8,38,3,1,18,34,15,8
6,36,4,3,21,39,16,18
5,62,6,3,17,32,22,18
17,75,18,4,21,36,11,9
13,73,24,15,23,34,18,14
7,63,15,3,18,40,4,9
12,61,19,7,25,42,12,11
16,58,28,8,26,37,14,10
18,68,25,9,27,38,18,15
16,67,15,13,21,39,18,11
16,105,20,3,20,36,10,16
11,97,12,2,20,43,14,19
11,67,12,1,16,44,15,14
22,58,18,12,31,48,24,16
12,45,5,5,20,32,13,11
12,54,11,2,20,43,20,10
25,61,22,14,30,35,20,22
13,60,16,10,22,48,15,19
10,75,8,2,18,29,7,5
8,62,6,3,24,30,13,8
5,66,13,3,20,23,12,9
1,77,9,2,10,26,7,1
12,64,9,3,22,32,18,14
2,77,5,0,15,37,14,4
5,53,7,2,13,27,14,4
9,72,4,4,21,35,10,15
8,66,7,4,16,31,3,9
5,72,13,5,14,39,11,3
10,88,26,7,19,35,6,7
21,82,30,12,31,42,16,17
12,80,16,5,27,38,12,11
5,53,3,3,23,35,14,11
9,48,6,7,22,35,17,13
7,39,6,5,17,28,9,9
7,15,3,0,7,33,12,7
4,33,10,4,19,30,31,12
10,65,16,3,17,32,7,7
5,84,12,0,21,38,11,13
23,85,34,6,18,42,15,10
14,60,14,6,25,27,8,11
6,55,10,8,15,32,10,5
10,63,11,8,24,36,12,11
5,52,11,4,11,29,14,4
14,49,11,3,25,38,10,13
10,66,16,4,23,36,13,11
10,66,8,5,17,36,17,23
16,68,19,11,28,38,22,11
13,78,15,5,22,41,14,12
17,58,11,3,28,50,11,4
17,91,15,7,23,30,11,10
13,60,11,7,22,39,19,14
16,65,75,12,18,44,20,15
18,62,42,14,19,31,10,10
9,47,64,3,20,40,25,9
3,45,44,4,18,30,15,3
2,39,45,12,12,36,18,6
4,39,45,13,7,21,20,2
4,45,52,11,10,31,19,17
3,52,51,9,19,45,26,2
4,53,40,12,11,32,20,3
4,65,37,5,15,34,24,3
8,52,41,5,6,36,16,5
8,49,27,7,10,32,21,2
3,42,37,14,11,35,21,3
5,62,32,8,10,42,31,3
4,61,37,13,16,51,22,2
1,47,28,7,11,45,18,4
6,52,25,9,8,34,15,1
0,61,26,7,6,32,10,5
4,74,39,8,16,47,29,6
6,74,31,5,7,34,25,1
2,49,25,6,8,29,32,4
2,45,29,3,13,43,24,5
2,79,27,1,10,39,23,5
5,80,36,6,13,50,25,3
1,53,45,6,15,39,20,6
3,72,52,7,7,44,10,2
6,62,35,11,17,41,28,3
5,65,41,15,15,49,25,2
1,66,32,10,11,41,24,3
1,64,28,1,8,48,32,6
